accelerometer_x,accelerometer_y,accelerometer_z,gravity_x,gravity_y,gravity_z,gyros_x,gyros_y,gyros_z,lin_accel_x,lin_accel_y,lin_accel_z,game_rot_vec_x,game_rot_vec_y,game_rot_vec_z,magn_field_x,magn_field_y,magn_field_z
-1.892,3.055,9.481,-2.072,3.197,9.036,-0.033,-0.042,0.03,-0.268,0.124,-0.507,0,0,0,25.072,5.989,-34.676
-1.865,3.108,9.63,-2.086,3.248,9.015,-0.039,-0.046,0.025,-0.054,0.163,-0.289,0.046,0.196,0.68,24.789,6.015,-35.455
-2.002,3.175,9.242,-2.075,3.249,9.017,-0.065,-0.042,0.015,0.004,0.07,0.012,0.047,0.195,0.68,24.956,5.672,-35.164
-2.1,3.201,8.871,-2.063,3.213,9.033,-0.068,-0.026,-0.002,-0.023,-0.034,0.356,0.046,0.193,0.681,24.321,6.866,-35.129
-2.402,3.206,8.574,-2.06,3.182,9.044,-0.037,0.022,-0.013,-0.012,-0.061,0.367,0.045,0.192,0.681,24.287,7.359,-34.793
-2.349,3.335,8.569,-2.063,3.185,9.043,0.006,0.049,-0.015,0.056,0.015,0.003,0.045,0.192,0.681,25.079,4.172,-34.349
-2.138,3.41,8.72,-2.051,3.202,9.04,0.03,0.042,-0.027,0.233,0.055,-0.154,0.046,0.192,0.681,25.107,5.496,-35.011
-2.071,3.319,9.029,-2.055,3.21,9.036,0.036,0.042,-0.049,0.122,-0.052,-0.253,0.046,0.193,0.68,23.712,5.763,-36.319
-2.097,3.196,9.438,-2.081,3.208,9.031,0.029,0.038,-0.053,-0.12,-0.141,-0.242,0.045,0.194,0.68,23.369,5.267,-34.105
-2.093,3.153,9.503,-2.118,3.208,9.022,0.009,0.025,-0.022,-0.317,-0.082,-0.304,0.044,0.195,0.679,24.409,5.707,-35.205
-2.028,3.232,9.137,-2.128,3.215,9.017,-0.014,-0.034,0.018,-0.159,0.01,-0.38,0.044,0.196,0.679,25.722,6.285,-35.362
-1.834,3.283,8.959,-2.119,3.22,9.017,-0.041,-0.044,0.029,0.043,0.078,-0.274,0.044,0.196,0.679,24.712,7.011,-35.695
-1.944,3.175,8.83,-2.118,3.209,9.022,-0.06,-0.018,0.013,-0.055,0.002,0.022,0.044,0.195,0.68,25.085,5.977,-33.612
-2.208,3.077,8.816,-2.118,3.193,9.027,-0.053,-0.023,0.011,-0.14,-0.003,0.296,0.043,0.195,0.68,25.507,5.478,-35.741
-2.437,3.129,8.727,-2.115,3.189,9.03,-0.032,-0.011,0.028,-0.059,0.067,0.193,0.043,0.194,0.68,24.429,5.688,-33.534
