accelerometer_x,accelerometer_y,accelerometer_z,gravity_x,gravity_y,gravity_z,gyros_x,gyros_y,gyros_z,lin_accel_x,lin_accel_y,lin_accel_z,game_rot_vec_x,game_rot_vec_y,game_rot_vec_z,magn_field_x,magn_field_y,magn_field_z
6.682,8.945,-1.139,5.079,8.337,-0.932,0.076,-0.367,0.032,0.06,0.732,1.647,0.377,-0.637,-0.316,0.226,-39.313,11.356
6.11,9.302,-0.938,5.074,8.337,-0.96,0.141,-0.14,0.002,-0.309,0.757,1.939,0.377,-0.638,-0.316,1.105,-40.038,12.132
5.174,8.729,-0.306,5.063,8.341,-0.981,0.235,0.085,-0.048,-1.078,0.622,2.121,0.379,-0.637,-0.315,0.902,-40.854,12.666
4.391,8.449,-0.088,5.051,8.346,-0.997,0.331,0.247,-0.058,-1.747,0.462,2.863,0.382,-0.636,-0.313,-0.255,-39.954,12.485
4.575,8.813,0.57,5.047,8.348,-1.002,0.451,0.541,-0.047,-2.408,-0.026,3.434,0.387,-0.633,-0.309,0.462,-38.988,10.335
5.238,9.232,0.697,5.065,8.338,-1,0.625,0.887,0.063,-3.463,-0.474,3.632,0.393,-0.63,-0.301,0.72,-40.341,12.08
4.865,9.259,0.96,5.13,8.296,-1.011,0.887,1.153,0.342,-5.129,-1.011,4.206,0.4,-0.626,-0.29,-0.584,-39.114,13.127
4.084,9.127,1.121,5.278,8.2,-1.036,1.163,1.393,0.819,-6.396,-1.957,5.021,0.406,-0.623,-0.273,-0.874,-39.082,11.739
3.402,8.969,1.846,5.535,8.027,-1.048,1.441,1.817,1.432,-7.138,-2.962,5.91,0.411,-0.62,-0.249,-0.574,-37.466,13.094
2.732,8.476,2.414,5.916,7.755,-1.02,1.743,2.404,2.179,-8.661,-4.107,6.344,0.414,-0.617,-0.215,-2.255,-36.861,12.698
1.688,8.006,2.615,6.437,7.335,-0.963,2.078,2.783,3.169,-10.976,-5.647,6.475,0.414,-0.615,-0.172,-3.816,-37.442,14.809
0.079,7.41,3.18,7.093,6.715,-0.871,2.413,2.955,4.313,-12.874,-7.92,7.511,0.407,-0.615,-0.117,-6.709,-34.807,17.044
-1.054,6.342,3.972,7.874,5.809,-0.65,2.681,3.448,5.732,-13.802,-10.697,9.233,0.392,-0.616,-0.047,-9.483,-35.788,17.358
-1.556,5.133,4.853,8.691,4.537,-0.213,2.922,4.158,7.317,-13.264,-12.925,10.143,0.365,-0.614,0.038,-13.214,-33.238,16.939
-2.722,3.678,5.32,9.373,2.866,0.331,3.276,4.073,8.85,-15.101,-17.583,9.001,0.327,-0.613,0.138,-17.532,-29.843,18.202
-4.554,1.671,5.514,9.746,0.73,0.806,3.712,3.049,10.662,-13.701,-24.422,3.989,0.277,-0.618,0.25,-22.342,-27.39,17.841
-5.854,-1.274,6.649,9.585,-1.743,1.126,3.882,1.457,12.213,-9.099,-29.73,-0.013,0.217,-0.629,0.365,-29.059,-19.536,17.409
-6.081,-5.001,8.595,8.746,-4.22,1.365,3.776,0.301,13.009,-5.657,-32.658,-6.234,0.15,-0.639,0.475,-33.208,-13.326,16.608
-4.822,-8.518,9.936,7.322,-6.351,1.493,3.262,-0.816,13.03,1.565,-32.394,-13.025,0.085,-0.646,0.568,-35.674,-4.102,16.917
-6.091,-14.827,9.318,5.694,-7.862,1.388,2.372,-2.7,11.75,9.605,-27.487,-14.45,0.034,-0.654,0.634,-34.7,7.735,14.65
-4.408,-23.726,4.758,4.291,-8.739,1.18,1.276,-3.631,9.12,16.319,-21.705,-8.884,0.004,-0.663,0.674,-33.066,16.849,16.495
0.021,-31.388,1.059,3.31,-9.174,1.022,0.436,-2.804,6.214,23.331,-16.861,-2.264,-0.014,-0.669,0.693,-28.633,24.648,16.646
2.701,-36.691,-4.929,2.667,-9.389,0.949,-0.033,-1.054,4.02,22.44,-12.186,1.084,-0.03,-0.671,0.702,-18.755,32.42,17.686
8.636,-38.527,-11.583,2.158,-9.519,0.949,-0.042,0.353,3.02,16.746,-6.335,-0.432,-0.051,-0.67,0.708,-13.582,32.257,17.633
15.179,-35.183,-13.091,1.79,-9.593,0.972,-0.069,1.118,2.117,13.104,-2.025,-0.97,-0.071,-0.667,0.71,-9.848,35.295,19.971
20.576,-30.373,-7.714,1.623,-9.621,0.989,-0.216,2.078,0.872,9.466,-3.031,-1.71,-0.09,-0.664,0.708,-7.86,35.835,19.257
26.654,-26.07,-1.238,1.587,-9.622,1.031,0.033,1.593,0.148,5.855,-3.502,-2.543,-0.102,-0.661,0.707,-6.067,35.399,18.61
25.141,-21.696,2.045,1.606,-9.614,1.078,0.194,0.508,-0.073,3.188,0.106,-1.323,-0.104,-0.659,0.707,-4.863,35.805,19.798
