accelerometer_x,accelerometer_y,accelerometer_z,gravity_x,gravity_y,gravity_z,gyros_x,gyros_y,gyros_z,lin_accel_x,lin_accel_y,lin_accel_z,game_rot_vec_x,game_rot_vec_y,game_rot_vec_z,magn_field_x,magn_field_y,magn_field_z
3.876,7.233,-5.384,3.987,7.116,-5.443,-0.102,0.091,0.065,-0.198,-0.4,-0.055,0.584,-0.661,-0.156,-0.291,-20.093,35.187
3.955,7.312,-5.372,4.011,7.117,-5.425,-0.079,0.117,0.076,-0.121,-0.688,-0.316,0.583,-0.661,-0.155,-0.723,-19.739,35.481
4.056,7.109,-5.43,4.037,7.114,-5.409,-0.06,0.136,0.079,-0.222,-0.823,-0.512,0.582,-0.661,-0.154,-2.544,-21.088,33.569
3.85,6.855,-5.645,4.067,7.111,-5.391,-0.069,0.148,0.105,-0.393,-0.554,-0.524,0.582,-0.661,-0.153,-1.462,-19.028,35.017
3.79,6.718,-5.499,4.101,7.109,-5.368,-0.097,0.147,0.137,-0.193,-0.216,-0.681,0.581,-0.661,-0.153,-2.998,-22.215,33.755
3.89,6.429,-5.741,4.144,7.114,-5.329,-0.163,0.201,0.149,-0.037,-0.151,-0.024,0.579,-0.66,-0.152,-3.05,-19.431,35.924
3.814,6.29,-5.921,4.209,7.12,-5.268,-0.179,0.389,0.139,0.412,-0.78,0.826,0.578,-0.659,-0.15,-2.01,-19.144,33.749
3.673,6.555,-5.913,4.298,7.123,-5.192,-0.132,0.664,0.096,0.723,-1.046,0.499,0.578,-0.657,-0.146,-2.966,-20.586,35.544
3.907,6.891,-6.047,4.401,7.129,-5.096,-0.078,0.912,0.014,1.019,-0.786,1.404,0.578,-0.652,-0.141,-3.801,-18.863,33.475
4.106,6.96,-5.351,4.505,7.141,-4.988,0.051,1.216,-0.198,1.489,-0.761,1.806,0.581,-0.645,-0.135,-3.02,-23.544,34.874
4.618,6.335,-4.439,4.61,7.182,-4.83,0.128,1.839,-0.611,1.605,-1.429,2.205,0.588,-0.633,-0.126,-4.649,-21.79,34.717
5.016,6.069,-4.688,4.733,7.264,-4.583,0.186,2.89,-1.118,1.415,-2.297,1.199,0.599,-0.612,-0.112,-4.239,-20.006,35.028
5.413,6.333,-3.684,4.859,7.394,-4.229,0.128,3.878,-1.53,0.814,-2.368,0.455,0.613,-0.583,-0.095,-6.886,-21.141,33.522
5.985,6.366,-3.172,4.94,7.571,-3.802,0.067,4.401,-1.867,0.324,-1.783,1.372,0.627,-0.548,-0.077,-7.468,-20.61,33.664
6.203,5.734,-2.612,4.928,7.798,-3.327,0.122,5.037,-2.385,-1.797,-1.912,-0.649,0.644,-0.505,-0.058,-9.758,-20.645,35.149
