accelerometer_x,accelerometer_y,accelerometer_z,gravity_x,gravity_y,gravity_z,gyros_x,gyros_y,gyros_z,lin_accel_x,lin_accel_y,lin_accel_z,game_rot_vec_x,game_rot_vec_y,game_rot_vec_z,magn_field_x,magn_field_y,magn_field_z
-6.788,-2.945,9.793,-6.331,-2.31,7.125,0.025,-0.054,-0.009,0.031,0.054,-0.816,0,0,0,14.726,-3.102,-34.683
-6.838,-3.029,4.808,-6.413,-2.347,7.038,0.02,-0.041,-0.009,-0.015,-0.033,-0.765,-0.113,0.358,-0.042,15.691,-5.29,-36.281
-6.611,-2.882,6.577,-6.477,-2.351,6.978,0.02,0.048,-0.007,-0.128,0.03,-0.452,-0.113,0.363,-0.042,15.355,-4.445,-36.247
-6.505,-2.387,7.564,-6.538,-2.349,6.921,0.04,0.075,-0.027,-0.133,0.063,-0.483,-0.113,0.367,-0.042,14.307,-4.878,-35.754
-6.694,-2.198,6.402,-6.585,-2.359,6.873,0.047,0.019,-0.056,-0.167,-0.011,-0.506,-0.113,0.37,-0.043,14.983,-4.761,-35.237
-6.637,-2.181,6.101,-6.621,-2.369,6.835,0.03,0.011,-0.056,-0.2,-0.013,-0.399,-0.114,0.372,-0.043,16.553,-4.185,-36.74
-6.455,-2.313,6.484,-6.653,-2.37,6.804,0.007,0.038,-0.023,-0.252,0.007,-0.24,-0.114,0.374,-0.043,14.882,-3.59,-36.224
-6.498,-2.406,6.35,-6.677,-2.373,6.779,-0.003,0.044,0.001,-0.291,-0.067,-0.078,-0.114,0.376,-0.043,16.55,-5.843,-36.099
-6.644,-2.334,6.568,-6.683,-2.392,6.767,0.004,0.024,0.001,-0.218,-0.284,0.093,-0.115,0.377,-0.044,16.853,-4.538,-36.438
-6.68,-2.289,6.448,-6.682,-2.41,6.761,0.033,0.014,-0.011,-0.071,-0.287,0.029,-0.116,0.377,-0.044,14.847,-6.72,-36.45
-6.737,-2.365,6.352,-6.683,-2.417,6.758,0.059,0.033,-0.032,0.03,-0.132,-0.023,-0.116,0.377,-0.045,14.375,-6.021,-37.349
-6.795,-2.372,6.41,-6.695,-2.419,6.745,0.076,0.058,-0.056,0.035,-0.032,-0.241,-0.116,0.378,-0.046,15.146,-6.761,-34.303
-6.879,-2.353,6.536,-6.714,-2.424,6.725,0.079,0.087,-0.075,0.007,-0.017,-0.353,-0.115,0.379,-0.047,14.001,-4.369,-35.287
-6.953,-2.435,6.685,-6.734,-2.435,6.7,0.064,0.11,-0.084,-0.033,-0.088,-0.328,-0.115,0.381,-0.048,15.767,-5.977,-34.198
-6.903,-2.677,6.862,-6.752,-2.455,6.675,0.052,0.095,-0.098,0.012,-0.176,-0.431,-0.116,0.382,-0.05,15.468,-5.936,-36.345
-6.764,-2.701,6.8,-6.765,-2.476,6.654,0.036,0.093,-0.122,0.052,-0.09,-0.337,-0.117,0.384,-0.051,16.606,-4.544,-34.332
-6.663,-2.552,6.745,-6.779,-2.494,6.633,0.032,0.127,-0.138,-0.014,-0.049,-0.18,-0.117,0.385,-0.053,16.055,-2.693,-34.547
-6.661,-2.452,6.505,-6.795,-2.514,6.609,0.04,0.145,-0.149,-0.128,-0.129,-0.066,-0.117,0.386,-0.055,15.901,-4.48,-36.206
-6.697,-2.437,6.362,-6.811,-2.535,6.585,0.054,0.141,-0.161,-0.16,-0.138,-0.12,-0.118,0.388,-0.056,17.233,-5.885,-36.047
-6.749,-2.516,6.354,-6.825,-2.551,6.564,0.056,0.139,-0.149,-0.069,-0.058,-0.098,-0.118,0.389,-0.058,15.788,-4.646,-35.316
-6.711,-2.622,6.216,-6.845,-2.561,6.539,0.047,0.173,-0.139,-0.045,0.078,-0.144,-0.118,0.391,-0.06,17.198,-3.734,-36.656
-6.675,-2.552,6.28,-6.867,-2.57,6.513,0.04,0.201,-0.138,-0.038,0.139,-0.038,-0.117,0.393,-0.061,17.461,-5.09,-34.607
-6.752,-2.528,6.412,-6.885,-2.581,6.489,0.047,0.188,-0.154,0.062,0.129,-0.106,-0.117,0.394,-0.063,15.54,-4.961,-35.358
-6.883,-2.629,6.505,-6.901,-2.601,6.464,0.05,0.177,-0.176,0.223,0.056,-0.319,-0.118,0.396,-0.065,17.432,-4.756,-34.889
-6.934,-2.66,6.429,-6.923,-2.62,6.433,0.033,0.216,-0.185,0.087,0.112,-0.25,-0.118,0.398,-0.067,17.091,-3.906,-35.159
-6.857,-2.595,6.431,-6.955,-2.642,6.389,0.019,0.287,-0.182,0.152,0.148,-0.401,-0.118,0.4,-0.069,16.626,-4.871,-34.81
-6.85,-2.468,6.357,-6.991,-2.67,6.338,-0.004,0.302,-0.214,0.122,0.228,-0.574,-0.119,0.403,-0.071,16.772,-5.043,-34.962
-6.864,-2.416,6.436,-7.024,-2.702,6.287,-0.039,0.281,-0.238,0.07,0.318,-0.62,-0.12,0.406,-0.073,16.748,-4.712,-34.94
