accelerometer_x,accelerometer_y,accelerometer_z,gravity_x,gravity_y,gravity_z,gyros_x,gyros_y,gyros_z,lin_accel_x,lin_accel_y,lin_accel_z,game_rot_vec_x,game_rot_vec_y,game_rot_vec_z,magn_field_x,magn_field_y,magn_field_z
4.453,-8.274,-3.555,3.966,-8.32,-3.349,0.045,-0.162,-0.171,1.143,0.619,1.545,-0.576,-0.582,0.195,-33.6,15.187,18.033
4.647,-8.329,-3.325,4.005,-8.311,-3.325,0.15,-0.116,-0.249,0.95,0.086,1.635,-0.573,-0.584,0.195,-33.321,15.163,18.66
4.867,-8.641,-2.736,4.043,-8.307,-3.29,0.241,-0.167,-0.263,1.077,-0.001,1.834,-0.57,-0.586,0.196,-35.033,16.26,18.753
5.1,-8.257,-2.327,4.083,-8.303,-3.251,0.308,-0.267,-0.301,1.134,0.445,2.085,-0.565,-0.588,0.197,-34.805,14.934,17.918
5.169,-7.829,-1.855,4.136,-8.299,-3.192,0.405,-0.216,-0.367,1.192,0.02,1.989,-0.56,-0.591,0.199,-33.694,14.693,18.445
5.016,-8.351,-1.74,4.211,-8.3,-3.089,0.537,0.001,-0.41,1.339,-0.386,2.596,-0.554,-0.592,0.2,-33.438,14.691,17.099
5.181,-8.432,-1.506,4.306,-8.314,-2.918,0.786,0.262,-0.423,1.669,-0.432,3.4,-0.547,-0.591,0.201,-32.948,13.821,18.443
5.277,-7.98,-1.214,4.407,-8.344,-2.672,1.144,0.347,-0.423,2.079,-0.521,4.986,-0.538,-0.588,0.203,-34.433,13.747,18.774
5.389,-8.401,-1.25,4.521,-8.384,-2.333,1.659,0.301,-0.515,2.761,-0.78,6.489,-0.526,-0.585,0.209,-35.005,14.114,18.755
5.612,-8.808,-0.538,4.681,-8.411,-1.876,2.27,0.411,-0.761,3.467,-1.5,6.853,-0.507,-0.581,0.215,-35.406,13.824,17.336
6.038,-8.868,0.438,4.897,-8.404,-1.252,2.946,0.892,-1.037,4.607,-3.204,7.462,-0.484,-0.574,0.222,-34.938,12.973,17.009
6.55,-8.988,2.275,5.152,-8.336,-0.379,3.834,1.815,-1.297,5.197,-5.89,8.593,-0.455,-0.559,0.227,-34.575,15.265,16.441
7.35,-9.289,4.121,5.391,-8.158,0.743,4.741,2.893,-1.494,6.015,-7.917,6.348,-0.421,-0.534,0.23,-35.222,16.779,17.561
8.222,-10.044,4.947,5.561,-7.805,2.08,5.284,4.386,-1.831,7.057,-9.153,3.114,-0.383,-0.497,0.227,-36.038,16.367,14.581
9.591,-11.758,6.187,5.507,-7.247,3.65,5.543,6.732,-2.244,6.004,-10.527,-0.437,-0.345,-0.442,0.211,-36.655,15.579,14.78
10.46,-14.406,8.205,4.95,-6.531,5.387,5.732,9.303,-2.14,5.182,-13.458,-3.317,-0.309,-0.36,0.186,-38.007,16.539,9.882
11.552,-16.295,7.111,3.794,-5.721,7.003,6.013,10.52,-1.249,5.174,-15.815,-6.934,-0.273,-0.261,0.164,-36.929,15.866,4.453
12.802,-17.217,5.263,2.281,-4.842,8.217,6.061,10.18,-0.212,6.682,-14.68,-11.409,-0.236,-0.16,0.148,-38.506,14.526,0.131
11.724,-18.055,3.355,0.676,-3.906,8.97,5.849,9.467,-0.03,7.686,-15.329,-12.285,-0.197,-0.063,0.134,-40.541,13.411,-7.248
