accelerometer_x,accelerometer_y,accelerometer_z,gravity_x,gravity_y,gravity_z,gyros_x,gyros_y,gyros_z,lin_accel_x,lin_accel_y,lin_accel_z,game_rot_vec_x,game_rot_vec_y,game_rot_vec_z,magn_field_x,magn_field_y,magn_field_z
2.068,9.761,3.726,1.889,9.208,2.795,0.43,0.156,0.051,-0.572,0.074,1.609,0.238,-0.549,-0.657,-21.655,-33.768,-11.813
2.126,9.666,3.862,1.888,9.232,2.715,0.541,0.242,0.101,-1.151,0.09,2.489,0.241,-0.551,-0.653,-20.921,-34.474,-11.804
2.114,9.701,3.915,1.887,9.259,2.622,0.71,0.463,0.193,-2.44,-0.058,4.402,0.246,-0.553,-0.648,-22.449,-34.201,-12.817
2.066,9.615,3.762,1.899,9.29,2.502,1.002,0.919,0.424,-3.933,-0.796,6.387,0.255,-0.555,-0.639,-21.964,-35.068,-11.778
2.124,9.543,3.702,1.96,9.323,2.327,1.437,1.436,0.838,-5.679,-2.186,7.559,0.266,-0.557,-0.625,-21.468,-36.098,-10.901
1.965,9.318,3.941,2.118,9.346,2.081,1.964,1.878,1.458,-7.462,-3.688,8.238,0.28,-0.562,-0.603,-21.475,-34.277,-11.378
1.614,9.321,4.286,2.428,9.337,1.76,2.563,2.424,2.338,-9.152,-6.28,8.93,0.294,-0.569,-0.572,-21.861,-34.427,-10.51
1.348,9.431,4.449,2.993,9.235,1.389,3.224,3.282,3.762,-10.868,-10.332,8.613,0.307,-0.578,-0.525,-21.475,-34.277,-11.378
0.768,9.474,5.248,3.937,8.922,1.033,3.754,4.114,5.808,-11.156,-14.714,7.105,0.315,-0.59,-0.459,-23.483,-32.68,-10.059
-0.522,9.357,7.068,5.247,8.244,0.821,3.902,4.667,8.043,-11.697,-19.905,4.941,0.309,-0.602,-0.372,-23.669,-33.821,-10.156
-2.002,8.65,8.931,6.79,7.02,0.883,3.536,4.915,10.321,-12.081,-24.917,0.987,0.284,-0.612,-0.265,-26.1,-30.527,-10.722
-3.687,7.286,9.924,8.293,5.092,1.211,2.754,4.476,12.508,-10.384,-29.141,-4.031,0.232,-0.62,-0.144,-28,-28.758,-10.596
-5.313,5.792,10.348,9.341,2.511,1.618,1.651,3.19,14.025,-8.193,-29.229,-7.357,0.154,-0.627,-0.016,-31.172,-24.75,-11.931
-6.697,3.158,10.71,9.625,-0.422,1.828,0.557,1.406,14.663,-7.237,-25.652,-9.156,0.06,-0.635,0.106,-34.595,-15.463,-11.694
-7.86,-1.053,10.008,9.075,-3.323,1.664,-0.573,-0.366,14.605,-6.134,-20.633,-13.469,-0.042,-0.643,0.216,-36.209,-8.904,-14.088
-7.235,-5.827,8.133,7.783,-5.872,1.054,-1.814,-2.219,14.086,-5.451,-20.112,-10.787,-0.144,-0.652,0.309,-36.351,1.366,-17.467
-6.532,-11.789,5.749,5.997,-7.758,0.126,-2.639,-3.818,12.927,2.151,-24.581,-6.12,-0.236,-0.662,0.384,-32.895,13.179,-16.652
-5.488,-18.1,1.844,4.182,-8.834,-0.798,-3.38,-3.452,10.646,12.519,-30.604,-2.743,-0.312,-0.666,0.432,-29.366,23.843,-16.975
-2.435,-24.26,-2.87,2.686,-9.301,-1.564,-4.165,-0.911,8.507,23.562,-24.976,8.337,-0.382,-0.659,0.449,-21.844,30.756,-13.907
0.68,-26.844,-5.82,1.812,-9.417,-2.05,-3.312,2.087,5.529,20.605,-16.711,6.66,-0.44,-0.641,0.442,-15.361,36.917,-11.581
1.867,-26.051,-7.427,1.326,-9.453,-2.248,-1.556,3.197,3.438,7.664,-16.021,-3.829,-0.482,-0.619,0.432,-8.597,41.397,-7.837
2.444,-23.774,-11.897,0.881,-9.478,-2.358,-0.853,2.839,3.019,0.424,-8.941,-4.578,-0.516,-0.595,0.426,-2.246,44.403,-2.559
1.932,-25.682,-9.787,0.49,-9.48,-2.463,-0.516,1.095,2.338,0.961,-6.099,-6.446,-0.538,-0.58,0.427,2.411,44.246,-0.072
7.903,-32.022,-6,0.088,-9.482,-2.5,-0.154,-0.807,2.105,8.153,-2.972,-1.705,-0.546,-0.574,0.438,4.964,44.891,1.697
16.601,-41.479,-3.522,-0.202,-9.493,-2.453,0.252,-0.367,1.752,12.658,1.371,0.039,-0.552,-0.566,0.447,7.323,42.741,3.706
26.224,-34.191,6.788,-0.325,-9.505,-2.394,0.365,0.476,0.959,7.644,1.941,-0.937,-0.557,-0.558,0.449,10.399,43.37,3.693
22.417,-26.13,4.609,-0.388,-9.508,-2.371,0.195,0.834,0.64,3.89,0.624,-1.533,-0.564,-0.55,0.448,11.56,44.278,4.459
