accelerometer_x,accelerometer_y,accelerometer_z,gravity_x,gravity_y,gravity_z,gyros_x,gyros_y,gyros_z,lin_accel_x,lin_accel_y,lin_accel_z,game_rot_vec_x,game_rot_vec_y,game_rot_vec_z,magn_field_x,magn_field_y,magn_field_z
14.401,-3.354,-11.99,-3.223,-8.091,-4.508,-0.32,-0.058,-0.369,4.263,1.197,-1.292,0.315,0.794,-0.52,18.12,39.81,2.942
11.643,-3.845,-15.44,-3.036,-8.113,-4.598,-0.387,0.185,-0.857,5.94,0.592,-2.108,-0.308,-0.8,0.515,20.041,39.371,1.698
9.04,-6.795,-9.548,-2.706,-8.154,-4.729,-0.575,0.32,-1.574,7.895,0.246,-2.962,-0.296,-0.808,0.509,17.453,39.531,2.11
6.809,-7.281,-7.122,-2.175,-8.19,-4.936,-0.881,0.943,-2.355,9.95,0.009,-2.223,-0.281,-0.82,0.497,18.024,40.977,2.258
4.724,-5.691,-7.563,-1.35,-8.187,-5.227,-1.18,2.306,-3.186,11.774,-0.642,-2.706,-0.265,-0.834,0.478,16.22,39.922,3.862
2.887,-6.601,-7.518,-0.176,-8.078,-5.557,-1.527,4.102,-3.993,13.76,-1.133,-4.654,-0.25,-0.849,0.449,13.503,39.929,3.796
1.343,-7.446,-6.416,1.483,-7.777,-5.787,-1.985,6.794,-4.981,16.709,-2.674,-3.616,-0.238,-0.859,0.406,11.232,41.226,4.012
1.053,-6.862,-5.782,3.76,-7.197,-5.498,-2.108,10.999,-6.322,16.43,-8.395,-2.198,-0.229,-0.853,0.345,7.704,43.246,5.847
2.918,-7.482,-6.684,6.043,-6.403,-4.319,-1.31,13.448,-6.76,16.656,-17.388,-6.205,-0.219,-0.82,0.278,2.802,44.011,9.912
5.202,-7.865,-7.666,7.693,-5.553,-2.481,0.025,13.191,-6.305,15.167,-20.057,-6.711,-0.202,-0.765,0.219,-5.043,45.181,8.762
7.788,-8.133,-7.13,8.564,-4.773,-0.226,1.525,12.971,-5.324,7.325,-20.187,-8.675,-0.181,-0.692,0.174,-11.021,42.955,5.544
10.431,-8.782,-7.903,8.72,-4.099,1.827,3.162,10.567,-4.03,-0.233,-20.65,-13.51,-0.153,-0.619,0.151,-16.547,41.702,1.064
13.585,-9.179,-10.189,8.593,-3.399,3.283,4.349,6.889,-3.223,-4.171,-18.738,-14.623,-0.114,-0.565,0.144,-23.276,40.314,-14.909
18.191,-10.448,-9.402,8.405,-2.596,4.334,4.308,5.001,-3.313,-7.17,-17.611,-16.072,-0.072,-0.523,0.138,-23.738,38.112,-22.543
20.216,-15.644,-7.735,8.047,-1.728,5.332,3.43,5.411,-3.759,-7.632,-15.914,-16.143,-0.034,-0.476,0.122,-20.389,32.516,-28.444
22.821,-23.92,-10.611,7.447,-0.826,6.327,2.462,6.215,-4.475,-7.899,-15.491,-17.949,-0.003,-0.421,0.094,-18.138,27.304,-32.736
23.118,-25.797,-9.275,6.678,-0.021,7.181,1.534,6.042,-4.766,-7.297,-16.005,-15.581,0.022,-0.365,0.059,-19.841,22.339,-36.566
16.252,-25.163,-8.911,5.835,0.554,7.862,0.659,5.476,-4.247,-6.533,-12.664,-13.283,0.038,-0.313,0.023,-15.935,18.665,-40.312
8.882,-24.935,-11.6,5.112,0.823,8.328,-0.318,4.202,-3.073,-5.447,-4.469,-11.228,0.042,-0.271,-0.005,-11.722,18.413,-41.815
4.803,-22.287,-11.195,4.668,0.821,8.585,-1.104,2.443,-1.656,-3.849,3.981,-7.404,0.037,-0.247,-0.023,-9.41,12.836,-43.091
1.568,-20.31,-11.566,4.363,0.62,8.761,-1.738,1.684,-0.515,-2.451,10.71,-3.927,0.025,-0.23,-0.032,-9.502,13.998,-43.32
0.682,-17.7,-10.635,4.121,0.353,8.892,-1.923,1.338,0.104,-0.817,16.449,0.508,0.01,-0.216,-0.036,-6.816,16.603,-40.489
-0.268,-16.338,-11.466,4.027,0.142,8.94,-1.486,0.551,0.173,0.906,13.865,-0.389,-0.001,-0.21,-0.039,-6.335,17.245,-41.771
-0.51,-16.027,-8.284,4.074,0.002,8.92,-1.094,-0.216,-0.111,2.135,9.331,0.273,-0.009,-0.212,-0.042,-4.675,17.122,-39.977
-0.649,-12.105,-5.356,4.15,-0.077,8.885,-0.7,-0.392,-0.183,2.343,6.352,2.398,-0.014,-0.216,-0.046,-4.808,18.784,-40.477
-0.326,-3.644,-2.885,4.167,-0.118,8.877,-0.329,-0.088,0.007,1.482,3.539,2.718,-0.017,-0.217,-0.047,-4.015,19.218,-39.471
0.809,4.801,1.161,4.172,-0.131,8.874,-0.032,-0.047,0.204,0.247,1.908,1.922,-0.017,-0.217,-0.045,-5.76,20.5,-41.037
