accelerometer_x,accelerometer_y,accelerometer_z,gravity_x,gravity_y,gravity_z,gyros_x,gyros_y,gyros_z,lin_accel_x,lin_accel_y,lin_accel_z,game_rot_vec_x,game_rot_vec_y,game_rot_vec_z,magn_field_x,magn_field_y,magn_field_z
1.379,7.769,-3.778,1.395,8.31,-5.017,0.338,-0.381,-0.121,-1.089,-0.485,-0.022,0.17,0.853,0.494,-10.629,-23.763,33.151
1.64,7.927,-3.34,1.333,8.282,-5.08,0.214,-0.679,0.115,-1.732,-1.63,-0.301,0.174,0.854,0.49,-11.107,-22.749,33.794
1.214,8.423,-4.01,1.343,8.256,-5.118,0.056,-0.747,0.604,-2.177,-2.57,0.162,0.183,0.853,0.488,-9.839,-21.513,34.134
0.29,7.726,-4.98,1.402,8.237,-5.134,-0.139,-1.118,1.149,-2.498,-2.736,0.502,0.198,0.85,0.487,-10.376,-21.487,34.853
-0.417,6.544,-5.315,1.423,8.23,-5.139,-0.461,-2.214,1.596,-2.547,-5.014,0.117,0.222,0.844,0.486,-10.222,-21.666,35.307
-0.855,5.562,-4.879,1.337,8.249,-5.132,-0.864,-3.814,1.918,-2.23,-7.287,-0.582,0.256,0.834,0.484,-10.052,-22.321,33.755
-1.121,5.358,-4.544,1.109,8.306,-5.094,-1.259,-5.692,2.178,-1.762,-7.98,-0.355,0.301,0.818,0.478,-6.522,-22.067,35.423
-1.154,3.043,-4.915,0.732,8.417,-4.979,-1.664,-7.734,2.462,-1.592,-7.464,0.711,0.356,0.792,0.468,-4.3,-24.67,34.201
-0.927,0.75,-5.583,0.255,8.626,-4.658,-2.337,-9.237,2.544,-2.011,-6.48,5.958,0.413,0.753,0.456,-0.45,-25.401,33.394
-0.687,0.07,-5.291,-0.195,8.972,-3.954,-3.404,-9.219,2.393,-7.465,-5.816,19.996,0.46,0.7,0.45,4.047,-27.493,32.541
-0.886,0.649,-4.089,-0.712,9.297,-3.039,-3.453,-10.779,2.008,-12.873,-2.271,28.488,0.503,0.634,0.431,9.019,-32.564,29.692
-1.767,1.779,1.499,-1.236,9.465,-2.25,-2.261,-14.099,2.119,-20.771,-3.145,14.83,0.557,0.552,0.376,15.335,-31.956,27.811
-7.65,2.684,16.25,-1.348,9.57,-1.664,-0.409,-17.396,2.849,3.792,-1.814,6.393,0.627,0.438,0.292,19.951,-34.967,19.31
-13.542,6.464,25.633,-1.682,9.583,-1.226,0.953,-18.64,0.457,16.134,4.429,5.099,0.679,0.319,0.174,23.23,-39.882,11.783
-21.929,5.72,12.723,-2.16,9.522,-0.92,1.507,-15.589,-1.195,7.84,18.23,-3.379,0.705,0.223,0.056,26.183,-36.865,4.945
2.533,7.125,4.839,-2.462,9.471,-0.631,0.681,-9.592,-1.055,0.438,24.36,-5.655,0.711,0.164,-0.019,27.448,-38.519,-2.512
14.561,13.386,3.953,-2.791,9.395,-0.34,-0.699,-3.471,-1.162,-14.357,12.251,-3.332,0.703,0.152,-0.053,26.025,-36.723,-7.964
5.796,27.241,-4.249,-3.276,9.243,-0.058,-1.14,-1.301,-1.586,-29.285,2.138,-1.264,0.691,0.161,-0.079,26.447,-35.565,-11.037
-1.935,33.485,-6.263,-3.841,9.022,0.161,-0.459,-2.866,-2.098,-27.283,-7.984,-9.433,0.682,0.163,-0.119,27.17,-36.417,-12.862
-17.078,21.409,-3.663,-4.338,8.78,0.514,0.268,-5.112,-2.392,-15.708,-5.342,-2.221,0.673,0.147,-0.175,27.525,-32.614,-15.901
-32.506,11.224,-1.321,-4.706,8.588,0.51,0.945,-1.978,-1.952,-10.583,2.69,-1.866,0.673,0.146,-0.206,26.593,-32.884,-15.996
-31.067,0.903,-9.275,-4.86,8.513,0.272,1.113,0.008,-0.778,-6.192,4.173,-6.524,0.681,0.15,-0.213,26.753,-31.72,-18.025
-19.987,3.319,-1.714,-4.907,8.49,0.09,0.766,-0.001,-0.185,-3.799,1.318,-7.629,0.688,0.151,-0.215,27.144,-31.573,-18.591
-15.249,11.205,-1.36,-4.941,8.471,-0.005,0.27,0.014,-0.082,-3.443,-0.796,-7.079,0.691,0.152,-0.217,29.454,-31.404,-17.331
-11.033,12.651,-6.253,-4.969,8.454,-0.014,-0.17,0.011,-0.046,-3.07,-1.83,-5.507,0.691,0.154,-0.217,27.339,-30.595,-18.657
