accelerometer_x,accelerometer_y,accelerometer_z,gravity_x,gravity_y,gravity_z,gyros_x,gyros_y,gyros_z,lin_accel_x,lin_accel_y,lin_accel_z,game_rot_vec_x,game_rot_vec_y,game_rot_vec_z,magn_field_x,magn_field_y,magn_field_z
2.401,-10.235,-2.499,1.763,-8.911,-3.696,0.278,0.31,-0.184,0.418,-1.452,1.96,-0.702,-0.442,0.2,12.439,40.141,13.148
2.09,-9.761,-3.677,1.819,-8.945,-3.585,0.499,0.473,-0.122,0.012,-0.839,0.735,-0.7,-0.44,0.199,13.095,40.43,13.071
1.97,-7.812,-5.253,1.875,-8.977,-3.473,0.549,0.333,-0.169,0.299,0.258,0.273,-0.697,-0.438,0.198,12.474,41.46,13.094
2.313,-7.676,-3.775,1.94,-9.011,-3.347,0.604,0.231,-0.252,0.663,-0.691,1.522,-0.692,-0.437,0.197,12.59,39.966,13.3
2.521,-9.737,-2.092,2.026,-9.066,-3.142,0.912,0.486,-0.28,0.89,-2.3,3.516,-0.687,-0.434,0.197,11.728,40.674,13.889
2.171,-10.314,-1.716,2.125,-9.153,-2.806,1.445,1.071,-0.202,0.137,-3.943,4.652,-0.679,-0.426,0.195,14.069,40.353,14.51
1.822,-9.737,-2.832,2.187,-9.274,-2.318,2.133,1.423,0.031,-0.181,-5.787,5.164,-0.669,-0.413,0.195,11.642,41.368,11.047
2.164,-8.672,-3.182,2.209,-9.408,-1.669,2.882,1.55,0.207,0.616,-6.386,6.848,-0.654,-0.396,0.199,13.242,41.763,10.899
2.593,-9.656,-1.807,2.225,-9.515,-0.832,3.64,2.246,0.223,1.701,-6.968,8.265,-0.636,-0.372,0.2,12.918,38.818,10.512
2.906,-11.324,0.388,2.188,-9.557,0.205,4.416,3.355,0.303,1.809,-8.543,8.087,-0.612,-0.338,0.197,12.936,41.963,9.37
2.255,-13.065,1.856,2.007,-9.496,1.406,5.17,4.173,0.581,1.636,-9.58,8.059,-0.585,-0.294,0.193,13.165,42.14,6.668
2.004,-15.05,2.849,1.63,-9.272,2.745,5.953,5.098,0.872,2.266,-10.412,8.732,-0.55,-0.239,0.187,13.266,43.668,1.927
2.827,-15.806,5.177,0.973,-8.841,4.131,6.689,6.395,1.202,2.511,-11.221,4.49,-0.511,-0.169,0.176,15.46,43.21,0.703
3.936,-16.527,7.429,0.048,-8.17,5.424,7.26,6.806,1.625,2.318,-9.031,-0.536,-0.464,-0.091,0.165,14.668,42.313,-3.372
4.017,-18.189,8.294,-1.064,-7.228,6.541,7.846,6.912,1.937,4.289,-10.563,-1.384,-0.408,-0.01,0.156,17.178,40.874,-7.375
3.673,-19.216,9.486,-2.446,-5.995,7.365,8.679,8.097,2.081,6.507,-15.626,-5.146,-0.343,0.083,0.14,21.321,39.49,-10.634
3.931,-19.881,11.536,-4.198,-4.513,7.627,9.162,9.817,2.671,6.889,-17.168,-12.254,-0.271,0.194,0.12,23.782,35.088,-14.85
3.51,-20.305,8.734,-5.937,-2.812,7.281,9.329,9.804,3.758,11.456,-16.234,-15.292,-0.19,0.304,0.108,27.214,32.578,-16.577
2.368,-17.456,5.057,-7.187,-1.041,6.59,9.731,7.902,3.735,15.445,-15.749,-16.54,-0.099,0.393,0.095,32.637,27.292,-17.128
3.189,-18.04,5.382,-7.847,0.494,5.861,9.884,4.928,2.15,16.187,-7.087,-21.758,-0.006,0.448,0.069,36.227,19.624,-15.565
3.972,-21.84,2.488,-8.053,1.428,5.412,8.389,1.78,-0.425,23.546,7.291,-14.619,0.068,0.468,0.028,42.11,14.267,-11.984
2.547,-21.835,-4.367,-8.313,1.683,4.922,4.038,2.415,-1.509,27.673,12.104,-5.144,0.099,0.489,-0.001,43.132,8.4,-9.132
5.358,-19.122,-7.814,-8.545,1.258,4.644,-1.142,1.909,-2.022,6.989,4.183,0.426,0.08,0.507,-0.01,44.904,4.974,-7.716
8.14,-16.807,-9.842,-8.616,0.567,4.649,-2.488,0.493,-2.711,3.076,1.841,9.675,0.045,0.511,-0.02,43.381,3.894,-5.487
8.317,-6.591,-15.88,-8.75,-0.046,4.428,-0.697,1.444,-3.073,-3.088,-2.313,7.749,0.023,0.523,-0.042,44.215,3.981,-3.136
15.579,8.703,-9.265,-8.892,-0.4,4.116,0.717,1.592,-2.334,-14.575,-0.734,-1.148,0.018,0.538,-0.066,44.286,4.959,-2.454
19.551,13.748,-0.335,-8.906,-0.408,4.085,0.8,-0.075,-0.581,-17.398,5.317,-4.566,0.023,0.54,-0.074,44.243,7.426,-1.521
-1.336,5.409,4.951,-8.855,-0.311,4.202,0.202,-0.836,0.305,-7.664,4.861,-4.619,0.027,0.534,-0.072,42.607,9.804,2.01
