accelerometer_x,accelerometer_y,accelerometer_z,gravity_x,gravity_y,gravity_z,gyros_x,gyros_y,gyros_z,lin_accel_x,lin_accel_y,lin_accel_z,game_rot_vec_x,game_rot_vec_y,game_rot_vec_z,magn_field_x,magn_field_y,magn_field_z
-6.23,-1.614,7.353,-5.762,-1.423,7.807,0.019,0.073,0.045,0.192,-0.068,0.06,0,0,0,37.512,18.929,-14.78
-5.54,-1.587,7.377,-5.769,-1.435,7.799,0.014,0.089,0.039,0.139,-0.029,-0.147,-0.07,0.312,-0.023,38.988,17.662,-12.93
-5.433,-1.168,8.387,-5.796,-1.448,7.777,0.01,0.099,0.042,0.079,-0.045,-0.201,-0.07,0.314,-0.023,37.125,16.968,-14.192
-5.67,-1.69,8.277,-5.807,-1.455,7.767,0.002,0.053,0.026,0.107,-0.025,-0.18,-0.071,0.315,-0.023,36.659,17.816,-13.56
-5.84,-1.396,7.777,-5.809,-1.468,7.763,-0.009,0.01,0.008,0.13,-0.041,-0.188,-0.072,0.315,-0.023,37.508,17.12,-15.366
-5.756,-1.42,7.853,-5.809,-1.496,7.758,-0.031,0.008,0,0.111,-0.128,-0.155,-0.073,0.315,-0.023,36.964,17.152,-15.103
-5.564,-1.489,7.858,-5.81,-1.528,7.751,-0.042,0.021,-0.01,0.112,-0.167,-0.162,-0.075,0.315,-0.023,36.713,15.34,-13.582
-5.586,-1.453,7.592,-5.813,-1.557,7.743,-0.048,0.031,-0.027,0.085,-0.134,-0.124,-0.076,0.315,-0.024,38.161,17.876,-12.526
-5.643,-1.475,7.477,-5.818,-1.579,7.735,-0.051,0.026,-0.038,0.021,-0.092,-0.08,-0.077,0.316,-0.024,38.051,17.242,-14.554
-5.603,-1.456,7.456,-5.818,-1.6,7.731,-0.062,0.018,-0.048,0.033,-0.053,-0.028,-0.078,0.316,-0.025,38.258,18.365,-12.634
-5.559,-1.479,7.415,-5.818,-1.623,7.726,-0.074,0.018,-0.055,0.051,-0.044,-0.057,-0.079,0.316,-0.025,38.28,18.037,-12.961
-5.564,-1.59,7.425,-5.818,-1.647,7.721,-0.08,0.02,-0.069,-0.018,-0.051,0.025,-0.08,0.316,-0.026,37.903,17.57,-13.327
-5.552,-1.657,7.394,-5.826,-1.669,7.71,-0.077,0.029,-0.075,-0.14,-0.033,0.022,-0.081,0.317,-0.026,37.975,16.426,-14.771
-5.574,-1.649,7.413,-5.84,-1.69,7.695,-0.081,0.039,-0.071,-0.249,-0.03,0.002,-0.082,0.318,-0.026,38.354,16.89,-14.099
-5.638,-1.628,7.444,-5.855,-1.714,7.678,-0.074,0.03,-0.051,-0.37,-0.157,0.093,-0.084,0.319,-0.027,37.581,16.437,-13.434
-5.624,-1.609,7.489,-5.863,-1.736,7.667,-0.048,0.01,-0.023,-0.38,-0.288,0.201,-0.085,0.319,-0.027,37.546,16.779,-14.323
-5.603,-1.621,7.451,-5.87,-1.75,7.658,0.003,0.023,0,-0.42,-0.357,0.341,-0.085,0.32,-0.027,37.909,19.221,-13.664
-5.674,-1.652,7.53,-5.888,-1.748,7.645,0.07,0.041,0.027,-0.565,-0.325,0.294,-0.085,0.321,-0.027,38.832,18.15,-11.389
-5.808,-1.657,7.523,-5.906,-1.726,7.636,0.135,0.011,0.051,-0.585,-0.186,0.136,-0.084,0.322,-0.027,37.975,16.733,-12.622
-5.938,-1.676,7.497,-5.922,-1.688,7.633,0.17,0.01,0.068,-0.441,0.028,0.084,-0.082,0.323,-0.027,37.468,16.27,-12.544
