accelerometer_x,accelerometer_y,accelerometer_z,gravity_x,gravity_y,gravity_z,gyros_x,gyros_y,gyros_z,lin_accel_x,lin_accel_y,lin_accel_z,game_rot_vec_x,game_rot_vec_y,game_rot_vec_z,magn_field_x,magn_field_y,magn_field_z
3.002,9.9,0.426,2.939,9.324,0.772,-0.023,-0.274,0.073,-0.541,0.875,1.973,0.345,-0.584,-0.491,-19.444,-38.715,15.466
3.615,10.056,0.434,2.961,9.322,0.717,0.061,-1.028,0.055,-0.416,0.956,3.592,0.34,-0.59,-0.494,-18.089,-36.826,15.862
4.297,9.701,0.934,2.988,9.322,0.587,0.296,-1.722,0.029,0.225,0.368,5.737,0.332,-0.6,-0.499,-17.871,-36.331,14.548
3.752,9.728,1.094,2.993,9.331,0.383,0.653,-2.007,-0.096,0.931,-0.241,7.98,0.325,-0.612,-0.503,-18.442,-37.932,13.324
3.538,10.348,0.774,2.955,9.35,0.105,1.103,-1.834,-0.272,0.957,-0.364,7.723,0.323,-0.625,-0.504,-17.844,-38.477,14.548
3.84,10.69,2.133,2.896,9.365,-0.279,1.608,-2.13,-0.323,0.796,-0.942,8.887,0.321,-0.641,-0.503,-17.537,-38.525,17.302
3.455,10.12,2.785,2.783,9.366,-0.84,2.349,-3.096,-0.435,0.185,-2.976,12.122,0.318,-0.664,-0.501,-16.391,-37.14,19.922
2.428,10.293,2.754,2.535,9.334,-1.62,3.429,-3.717,-0.862,-0.245,-4.971,13.925,0.32,-0.693,-0.495,-14.16,-37.784,20.662
2.576,10.377,4.317,2.088,9.22,-2.608,4.594,-4.182,-1.498,-0.166,-7.804,16.066,0.327,-0.725,-0.484,-12.701,-35.103,23.552
3.246,9.792,6.331,1.366,8.946,-3.779,5.763,-5.016,-2.238,0.055,-11.596,18.14,0.338,-0.761,-0.467,-10.75,-33.449,27.165
3.957,9.194,8.368,0.329,8.452,-4.963,6.428,-5.422,-3.249,1.393,-15.414,18.336,0.355,-0.792,-0.445,-8.577,-30.994,31.615
3.945,9.091,7.829,-0.806,7.703,-6.015,6.687,-3.979,-4.295,2.787,-21.314,22.754,0.384,-0.812,-0.415,-3.34,-29.866,33.936
3.723,8.524,8.605,-1.774,6.574,-7.057,7.456,-1.874,-4.849,2.103,-29.972,25.644,0.426,-0.824,-0.366,-0.566,-23.138,36.308
2.993,6.472,11.275,-2.519,4.875,-8.128,8.955,-0.709,-5.126,3.085,-41.254,23.695,0.472,-0.832,-0.292,4.089,-17.703,40.256
