accelerometer_x,accelerometer_y,accelerometer_z,gravity_x,gravity_y,gravity_z,gyros_x,gyros_y,gyros_z,lin_accel_x,lin_accel_y,lin_accel_z,game_rot_vec_x,game_rot_vec_y,game_rot_vec_z,magn_field_x,magn_field_y,magn_field_z
18.11,21.751,9.996,0.44,8.934,-4.414,0.115,0.613,0.366,14.898,4.691,3.49,-0.431,-0.734,0.51,15.337,36.876,3.799
13.786,14.746,4.729,0.363,8.998,-4.626,-0.353,2.959,0.12,9.923,4.102,2.12,-0.447,-0.732,0.494,14.61,34.261,5.984
12.352,10.408,8.969,0.394,9.013,-4.88,-0.333,4.237,0.239,4.06,1.189,-3.901,-0.469,-0.727,0.471,16.705,35.591,8.069
9.064,7.197,8.009,0.519,9.005,-5.01,-0.146,2.782,-0.063,2.348,-1.46,-2.592,-0.482,-0.723,0.456,17.943,35.196,6.773
3.476,5.842,0.584,0.673,8.986,-5.058,0.062,2.02,-0.872,1.761,-1.083,-0.439,-0.484,-0.723,0.445,17.665,33.868,9.238
0.321,4.949,-5.277,0.793,8.955,-5.08,0.165,2.148,-1.311,-0.793,-0.462,-1.647,-0.484,-0.724,0.432,16.55,34.422,10.402
-1.037,4.405,-1.192,0.832,8.92,-5.118,-0.041,1.752,-0.971,-1.44,0.48,-2.217,-0.485,-0.725,0.421,16.481,33.905,12.941
2.576,5.018,1.928,0.873,8.886,-5.179,-0.333,1.313,-0.719,-0.003,-0.889,0.72,-0.486,-0.727,0.411,15.074,34.648,13.641
4.484,7.02,3.266,0.992,8.847,-5.191,-0.136,1.852,-0.954,0.326,-1.753,2.041,-0.487,-0.726,0.398,13.864,34.401,13.071
3.91,9.16,3.745,1.103,8.818,-5.137,0.192,2.391,-1.136,-0.537,-0.958,0.795,-0.487,-0.724,0.385,13.043,34.302,11.784
2.507,10.144,2.608,1.156,8.81,-5.081,0.074,2.63,-0.978,-0.27,-0.104,0.477,-0.49,-0.72,0.37,12,34.172,14.728
1.417,10.654,2.428,1.181,8.819,-5.013,-0.032,2.527,-0.929,1.495,-0.772,2.45,-0.492,-0.716,0.354,11.099,36.882,13.483
1.884,9.91,5.536,1.181,8.845,-4.839,0.334,2.915,-1.387,2.756,-2.331,3.539,-0.491,-0.711,0.337,10.066,35.971,12.12
2.396,9.318,6.862,1.166,8.881,-4.514,0.873,3.48,-1.909,2.496,-2.747,3.164,-0.485,-0.704,0.319,9.822,36.426,17.599
1.582,10.106,6.089,1.191,8.923,-4.074,1.147,3.933,-2.043,2.563,-1.236,2.33,-0.477,-0.693,0.3,8.173,38.199,15.771
0.603,10.626,5.854,1.283,8.967,-3.556,1.241,4.067,-2.057,4.278,-0.88,2.321,-0.468,-0.68,0.279,5.304,38.383,15.555
-0.259,10.104,5.773,1.39,9.009,-2.908,1.529,4.363,-2.527,5.202,-1.659,2.149,-0.454,-0.665,0.255,3.902,39.12,16.711
-0.699,9.455,5.545,1.467,9.048,-2.119,1.869,4.626,-3.264,7.14,-1.729,2.245,-0.432,-0.649,0.228,1.321,37.154,15.453
-0.407,9.235,4.204,1.55,9.084,-1.166,2.139,5.026,-4.086,8.703,-3.035,4.802,-0.403,-0.63,0.195,-1.064,37.82,13.336
0.699,8.89,3.52,1.662,9.114,0.001,2.376,5.948,-4.588,8.242,-4.199,5.383,-0.368,-0.604,0.156,-3.159,40.269,12.737
