accelerometer_x,accelerometer_y,accelerometer_z,gravity_x,gravity_y,gravity_z,gyros_x,gyros_y,gyros_z,lin_accel_x,lin_accel_y,lin_accel_z,game_rot_vec_x,game_rot_vec_y,game_rot_vec_z,magn_field_x,magn_field_y,magn_field_z
5.08,-2.815,7.839,5.163,-2.693,7.891,-0.071,0.001,-0.027,-0.352,0.153,-0.012,-0.133,-0.283,0.037,-1.094,23.032,-32.841
5.167,-2.847,7.968,5.192,-2.689,7.873,-0.043,-0.175,-0.033,-0.025,0.684,0.407,-0.133,-0.284,0.037,-2.371,23.77,-32.587
5.111,-2.909,7.884,5.277,-2.657,7.827,0.044,-0.466,-0.056,1.226,1.82,0.593,-0.132,-0.289,0.037,-0.571,23.48,-31.552
4.992,-2.897,7.719,5.447,-2.573,7.738,0.18,-0.896,-0.193,3.378,3.188,1.54,-0.127,-0.299,0.036,-0.671,22.995,-31.747
4.939,-2.899,7.82,5.727,-2.397,7.591,0.458,-1.443,-0.396,6.926,5.268,2.945,-0.118,-0.315,0.035,-2.242,25.735,-31.981
4.879,-2.815,7.906,6.164,-2.088,7.336,0.974,-2.336,-0.678,10.819,7.274,3.46,-0.102,-0.34,0.032,-3.323,22.171,-31.563
4.774,-2.76,7.908,6.754,-1.612,6.925,1.675,-3.407,-1.159,13.718,7.706,3.788,-0.077,-0.375,0.029,-3.242,22.676,-33.038
4.872,-2.571,7.973,7.445,-0.947,6.312,2.483,-4.514,-1.792,16.047,7.429,5.823,-0.043,-0.42,0.023,-5.927,22.345,-32.365
5.229,-2.037,8.375,8.138,-0.084,5.472,3.302,-5.526,-2.619,16.292,6.691,9.184,0.003,-0.47,0.014,-12.061,20.763,-32.968
6.57,-0.871,8.519,8.725,0.941,4.377,4.121,-6.255,-3.425,17.154,5.992,9.234,0.058,-0.523,0.002,-17.717,15.002,-31.403
8.906,0.577,9.393,9.097,2.055,3.031,4.609,-6.853,-4.225,18.101,5.638,9.421,0.119,-0.576,-0.014,-22.815,12.669,-29.547
12.766,2.823,10.686,9.162,3.155,1.511,4.768,-7.22,-4.817,15.259,5.176,10.339,0.184,-0.624,-0.034,-29.21,7.777,-27.522
17.15,5.129,10.994,8.911,4.093,-0.087,4.597,-7.409,-4.822,12.168,5.05,11.26,0.244,-0.667,-0.056,-32.001,2.145,-23.897
20.724,6.034,10.97,8.386,4.816,-1.625,4.039,-7.451,-4.612,12.624,4.165,14.216,0.296,-0.704,-0.079,-35.799,-4.109,-17.662
23.875,6.433,12.46,7.632,5.403,-2.953,3.24,-6.943,-4.616,10.408,2.131,14.836,0.341,-0.731,-0.106,-40.155,-8.508,-12.099
24.988,6.601,15.031,6.744,5.877,-4.019,2.288,-6.249,-4.38,8.72,1.695,12.007,0.377,-0.75,-0.135,-38.805,-12.63,-4.541
26.638,7.015,13.992,5.82,6.292,-4.765,1.004,-5.591,-3.923,6.641,0.098,11.831,0.401,-0.763,-0.169,-36.705,-17.78,2.245
28.163,7.911,12.773,5.022,6.701,-5.104,-0.556,-4.377,-3.172,3.826,-3.403,11.904,0.413,-0.768,-0.206,-38.356,-20.671,4.944
25.536,8.715,12.034,4.53,7.149,-4.955,-2.388,-2.247,-2.141,0.992,-6.226,8.426,0.413,-0.763,-0.243,-34.726,-22.937,10.387
22.268,9.689,11.162,4.458,7.62,-4.27,-4.61,0.135,-0.729,-1.904,-12.382,3.296,0.398,-0.748,-0.279,-34.138,-25.285,10.57
22.206,9.668,12.359,4.844,7.96,-3.057,-6.451,2.161,0.83,-0.446,-30.83,7.956,0.365,-0.723,-0.31,-30.659,-26.334,10.773
19.161,8.327,11.449,5.292,8.061,-1.787,-5.555,3.111,0.722,2.053,-47.824,15.163,0.334,-0.693,-0.329,-32.535,-27.632,4.305
16.465,8.445,7.391,5.297,8.194,-0.991,-1.758,4.804,-1.228,-6.852,-33.25,3.076,0.346,-0.657,-0.329,-32.925,-26.428,1.93
13.316,7.314,6.366,4.906,8.435,-0.974,1.551,3.627,-2.517,-11.191,-10.581,-11.507,0.386,-0.633,-0.32,-32.935,-25.38,-3.766
9.558,4.245,6.079,4.356,8.663,-1.468,2.367,0.14,-2.569,-19.02,-4.217,-11.746,0.422,-0.63,-0.321,-29.329,-26.428,-4.311
6.129,1.882,2.806,4.037,8.716,-1.974,1.5,-2.123,-1.034,-9.579,-0.849,-7.763,0.433,-0.643,-0.327,-28.746,-28.926,-5.658
3.108,-3.816,-1.503,3.944,8.682,-2.288,0.835,-1.758,-0.078,-0.787,-1.072,-3.367,0.432,-0.655,-0.33,-27.53,-30.344,-3.687
4.886,-22.067,4.59,3.938,8.64,-2.454,0.734,-0.226,0.007,0.119,-1.451,-2.581,0.436,-0.66,-0.325,-27.602,-31.01,-2.525
7.697,-42.234,13.257,3.883,8.617,-2.617,0.826,0.16,-0.251,-3.163,-1.358,-3.898,0.443,-0.661,-0.32,-28.529,-32.941,-1.523
-1.341,-24.725,2.045,3.787,8.591,-2.833,0.88,-0.487,-0.323,-1.632,-0.099,-3.446,0.449,-0.665,-0.318,-27.42,-31.213,0.055
-6.141,-1.898,-12.509,3.703,8.566,-3.014,0.659,-0.728,-0.241,0.58,0.742,-2.181,0.452,-0.67,-0.317,-26.247,-32.591,-1.468
-14.574,4.626,-13.244,3.672,8.549,-3.1,0.334,-0.259,-0.103,0.612,-0.201,-1.429,0.453,-0.673,-0.317,-26.532,-32.254,-0.403
-5.469,8.026,-9.773,3.679,8.536,-3.125,0.198,0.296,-0.053,-0.709,-1.343,-1.416,0.456,-0.672,-0.314,-26.413,-29.971,1.439
3.227,7.765,-5.696,3.683,8.529,-3.141,0.172,0.36,-0.078,-1.217,-1.333,-1.457,0.459,-0.671,-0.311,-27.438,-32.545,1.477
4.125,7.338,-5.078,3.668,8.525,-3.167,0.146,0.075,-0.078,-0.993,-0.447,-0.847,0.461,-0.67,-0.31,-26.59,-31.122,2.103
0.783,7.398,-6.557,3.661,8.523,-3.182,0.052,-0.023,-0.01,-0.388,0.386,-0.597,0.461,-0.671,-0.31,-27.689,-30.737,3.56
