accelerometer_x,accelerometer_y,accelerometer_z,gravity_x,gravity_y,gravity_z,gyros_x,gyros_y,gyros_z,lin_accel_x,lin_accel_y,lin_accel_z,game_rot_vec_x,game_rot_vec_y,game_rot_vec_z,magn_field_x,magn_field_y,magn_field_z
1.76,-1.202,10.178,1.664,-1.2,9.59,0.281,-0.139,-0.106,-0.044,0.329,0.276,0.009,-0.105,0.646,-16.954,-13.602,-33.946
1.13,-0.855,10.006,1.685,-1.131,9.594,0.294,-0.088,-0.113,0.048,0.315,0.221,0.012,-0.103,0.646,-17.697,-14.545,-33.922
1.374,-0.646,10.18,1.697,-1.058,9.601,0.304,-0.055,-0.062,-0.014,0.478,-0.028,0.015,-0.101,0.645,-16.225,-15.962,-33.449
1.63,-0.728,10.027,1.721,-0.977,9.605,0.329,-0.115,-0.045,0.056,0.635,0.134,0.019,-0.1,0.645,-16.747,-16.412,-34.586
1.965,-0.814,10.235,1.759,-0.889,9.607,0.366,-0.187,-0.041,0.093,0.64,0.373,0.024,-0.098,0.645,-17.339,-13.599,-31.851
1.398,-0.984,10.094,1.814,-0.792,9.605,0.418,-0.256,-0.014,0.453,0.593,1.073,0.029,-0.097,0.646,-16.318,-16.611,-33.958
1.345,-1.013,9.979,1.862,-0.68,9.604,0.481,-0.27,0.034,0.076,0.774,1.37,0.035,-0.095,0.646,-17.303,-16.058,-33.391
1.645,-0.888,10.003,1.937,-0.54,9.598,0.573,-0.439,0.166,-0.074,1.547,1.459,0.044,-0.093,0.648,-18.513,-18.118,-34.09
1.757,-0.833,9.958,2.073,-0.366,9.578,0.702,-0.732,0.287,0.311,2.268,2.075,0.055,-0.093,0.65,-15.663,-15.857,-31.119
1.707,-0.596,9.714,2.278,-0.145,9.537,0.905,-0.999,0.338,1.393,2.839,2.744,0.071,-0.093,0.653,-17.841,-16.032,-32.672
1.803,-0.357,9.881,2.507,0.12,9.48,1.154,-1.113,0.303,1.65,2.934,3.099,0.09,-0.093,0.655,-19.388,-16.782,-30.42
1.879,-0.263,10.13,2.747,0.433,9.404,1.447,-1.301,0.325,0.616,2.9,3.529,0.111,-0.091,0.657,-20.56,-17.526,-30.87
2.301,-0.213,10.853,3.062,0.798,9.282,1.825,-1.814,0.453,-0.309,2.892,4.32,0.137,-0.09,0.66,-19.208,-17.447,-30.908
1.977,0.079,11.179,3.521,1.228,9.07,2.255,-2.595,0.626,0.224,3.566,5.229,0.171,-0.092,0.663,-22.522,-18.399,-30.179
1.91,0.994,11.291,4.1,1.729,8.739,2.732,-3.235,0.711,1.339,4.663,5.242,0.213,-0.095,0.664,-21.519,-18.501,-26.309
2.444,1.892,11.931,4.743,2.263,8.28,3.165,-3.762,0.754,1.556,4.911,5.793,0.261,-0.099,0.663,-23.203,-21.056,-24.197
3.752,2.689,12.62,5.398,2.787,7.699,3.501,-4.051,0.705,1.929,3.893,6.031,0.311,-0.104,0.659,-25.572,-21.904,-23.233
4.264,3.06,12.986,5.971,3.292,7.048,3.718,-3.964,0.452,1.403,2.523,6.481,0.36,-0.106,0.653,-27.37,-20.845,-18.898
3.503,3.354,13.41,6.483,3.773,6.317,3.953,-3.978,0.432,-0.016,2.178,6.189,0.408,-0.105,0.645,-28.914,-23.254,-15.549
2.935,3.738,14.155,7.056,4.175,5.381,4.295,-4.823,0.832,-0.816,2.521,6.51,0.462,-0.109,0.634,-32.208,-24.225,-13.148
3.993,4.88,14.938,7.654,4.486,4.179,4.488,-6.03,0.843,0.232,2.495,7.687,0.522,-0.119,0.616,-33.093,-22.571,-8.09
5.777,6.534,14.703,8.075,4.795,2.824,4.408,-6.601,-0.059,1.456,1.62,8.225,0.583,-0.127,0.587,-34.576,-23.686,-2.67
6.754,7.391,14.866,8.234,5.15,1.357,4.281,-6.788,-1.093,2.548,1.854,5.936,0.643,-0.132,0.546,-33.29,-22.159,1.337
7.915,6.984,14.569,8.157,5.438,-0.25,4.045,-7.481,-1.402,1.266,1.925,4.127,0.703,-0.138,0.495,-34.033,-22.021,8.575
8.097,6.213,14.382,7.814,5.577,-2.002,3.46,-8.734,-1.322,2.195,1.511,2.269,0.761,-0.154,0.431,-27.628,-22.536,19.073
7.309,6.441,13.326,7.039,5.747,-3.686,2.404,-9.977,-2.069,4.058,0.474,5.545,0.811,-0.173,0.349,-24.532,-21.153,25.949
7.209,7.269,12.63,5.844,6.053,-5.038,1.498,-10.082,-3.32,5.574,-1.188,11.05,0.85,-0.184,0.26,-16.351,-20.894,30.417
9,7.633,12.474,4.425,6.318,-6.056,0.899,-9.108,-3.816,3.64,-5.276,5.63,0.879,-0.188,0.17,-8.578,-20.764,33.932
10.767,7.149,11.48,2.879,6.435,-6.817,-0.003,-9.373,-2.806,0.613,-10.422,-1.976,0.898,-0.202,0.077,-1.981,-21.532,35.773
12.098,7.827,7.511,1.148,6.636,-7.129,-0.665,-11.195,-2.026,7.679,-5.757,11.054,0.901,-0.227,-0.028,6.978,-21.751,33.74
10.755,8.251,3.836,-0.188,6.766,-7.097,-0.514,-7.549,-3.017,12.096,-10.391,15.922,0.899,-0.23,-0.102,14.685,-19.904,30.997
11.312,8.018,-0.067,-0.826,6.661,-7.149,0.025,-3.109,-1.87,5.812,-17.834,6.623,0.902,-0.225,-0.132,20.453,-20.763,30.789
12.285,7.19,1.238,-1.158,6.512,-7.241,0.62,-2.041,-0.277,1.477,-12.757,5.915,0.903,-0.231,-0.149,23.923,-17.139,25.706
12.373,5.854,5.188,-1.401,6.382,-7.313,0.17,-0.481,-1.17,-0.25,-11.262,1.96,0.908,-0.221,-0.157,24.596,-18.523,27.939
