accelerometer_x,accelerometer_y,accelerometer_z,gravity_x,gravity_y,gravity_z,gyros_x,gyros_y,gyros_z,lin_accel_x,lin_accel_y,lin_accel_z,game_rot_vec_x,game_rot_vec_y,game_rot_vec_z,magn_field_x,magn_field_y,magn_field_z
1.051,-3.368,9.091,1.12,-3.478,9.101,0.084,0.526,-0.635,-0.475,3.721,2.441,-0.093,-0.165,0.665,-9.686,-9.706,-35.793
1.104,-3.373,9.149,1.023,-3.352,9.159,0.253,0.757,-0.755,-0.665,4.358,3.744,-0.093,-0.156,0.66,-9.406,-10.04,-37.161
1.156,-3.335,9.225,0.914,-3.161,9.238,0.528,0.828,-0.919,-1.05,4.978,5.549,-0.091,-0.144,0.653,-8.092,-11.122,-36.374
1.233,-3.237,9.211,0.86,-2.842,9.346,1.049,0.505,-0.852,-0.473,7.137,8.863,-0.082,-0.13,0.649,-9.149,-11.7,-37.714
1.187,-2.966,9.342,0.769,-2.416,9.473,1.724,0.652,-0.665,0.325,5.609,9.593,-0.069,-0.111,0.645,-6.432,-11.71,-37.65
1.118,-2.418,9.601,0.577,-1.867,9.61,2.336,1.069,-0.732,-1.284,6.319,9.2,-0.054,-0.084,0.642,-5.898,-11.732,-38.67
1.142,-1.563,9.994,0.575,-1.192,9.717,3.039,0.074,-0.57,0.097,5.603,11.008,-0.028,-0.062,0.64,-4.71,-12.813,-37.135
1.005,-0.641,10.499,0.525,-0.401,9.784,3.667,0.321,-0.407,1.129,5.573,12.365,0.001,-0.034,0.638,-3.984,-13.205,-35.587
0.646,0.242,11.545,0.655,0.509,9.771,4.461,-0.552,0.204,2.89,3.891,13.659,0.041,-0.009,0.641,-4.102,-15.489,-37.277
0.361,0.996,12.929,0.937,1.506,9.645,5.283,-1.23,0.363,4.532,-0.686,14.028,0.09,0.013,0.643,-4.018,-17.995,-34.715
-0.129,1.793,14.854,1.014,2.573,9.409,5.866,-0.215,0.008,4.596,-2.611,11.771,0.135,0.046,0.641,-4.568,-21.271,-33.475
0.4,4.252,18.349,1.144,3.665,9.024,6.196,-0.525,-0.182,5.83,-1.462,12.81,0.184,0.078,0.636,-5.232,-24.715,-31.345
1.113,3.134,19.3,1.505,4.723,8.462,6.417,-1.995,-0.417,6.632,-2.7,13.699,0.242,0.101,0.624,-5.539,-27.519,-29.291
-0.687,4.389,19.137,1.87,5.717,7.745,6.648,-2.427,-0.898,8.85,-6.793,14.744,0.301,0.12,0.605,-6.299,-29.179,-23.549
0.699,4.355,21.175,1.959,6.605,6.979,6.591,-1.053,-1.152,9.111,-10.049,14.196,0.35,0.148,0.587,-6.725,-33.958,-21.342
1.685,5.148,22.743,1.835,7.378,6.194,6.213,-0.204,-1.532,7.153,-10.921,11.289,0.389,0.182,0.568,-6.293,-35.352,-16.701
3.596,4.439,24.184,1.565,8.033,5.402,5.694,-0.26,-2.342,6.734,-11.489,9.693,0.422,0.215,0.543,-7.094,-39.365,-6.422
5.557,0.96,24.574,1.008,8.571,4.657,5.202,1.078,-3.023,5.659,-11.522,8.396,0.442,0.259,0.517,-6.224,-39.308,-1.186
5.717,0.235,22.178,0.138,8.987,3.923,4.783,3.681,-3.371,4.232,-11.945,4.624,0.445,0.32,0.499,-4.245,-39.801,2.429
7.111,2.641,22.913,-0.898,9.254,3.12,4.304,6.421,-3.375,4.591,-11.214,1.4,0.429,0.396,0.491,-2.592,-39.301,7.761
8.336,2.648,23.281,-1.957,9.369,2.134,3.711,9.536,-3.18,6.734,-10.055,-3.175,0.393,0.487,0.494,-1.74,-37.416,11.758
