accelerometer_x,accelerometer_y,accelerometer_z,gravity_x,gravity_y,gravity_z,gyros_x,gyros_y,gyros_z,lin_accel_x,lin_accel_y,lin_accel_z,game_rot_vec_x,game_rot_vec_y,game_rot_vec_z,magn_field_x,magn_field_y,magn_field_z
2.023,7.686,-5.3,2.457,7.975,-5.151,-0.189,0.124,0.125,-0.05,-0.142,0.456,0.873,0.026,0.157,2.861,-19.614,33.841
2.076,7.985,-5.389,2.48,7.992,-5.114,-0.188,0.135,0.048,0.172,-0.587,0.312,0.872,0.026,0.159,0.606,-18.639,33.124
2.475,7.709,-5.336,2.513,8.006,-5.075,-0.166,0.252,0.037,0.167,-0.476,0.335,0.871,0.026,0.161,2.623,-19.936,34.558
2.622,7.755,-4.946,2.562,8.027,-5.018,-0.211,0.446,0.025,-0.115,-0.332,0.211,0.869,0.028,0.165,0.612,-20.456,33.449
2.43,8.169,-5.028,2.606,8.064,-4.936,-0.325,0.567,-0.074,-0.495,-0.569,0.435,0.866,0.03,0.17,1.909,-21.368,33.943
2.449,7.97,-4.783,2.634,8.117,-4.832,-0.432,0.651,-0.203,-0.731,-0.525,0.208,0.863,0.035,0.174,1.315,-19.016,33.305
2.693,7.539,-4.889,2.682,8.189,-4.681,-0.604,0.986,-0.259,-0.809,-0.071,-0.125,0.859,0.04,0.182,1.369,-19.681,33.565
2.722,7.664,-4.824,2.772,8.284,-4.457,-0.813,1.588,-0.343,-0.066,-0.208,0.79,0.851,0.05,0.194,-0.058,-20.424,34.46
2.49,7.827,-4.889,2.862,8.408,-4.158,-0.985,2.223,-0.599,-0.899,-0.749,2.269,0.841,0.064,0.211,0.282,-21.584,32.735
2.152,7.623,-4.58,2.905,8.539,-3.849,-0.983,2.351,-0.79,-3.197,-1.2,2.127,0.831,0.08,0.227,-1.643,-21.448,31.528
1.944,7.719,-4.7,2.931,8.659,-3.551,-0.913,2.315,-0.768,-3.718,-1.356,1.865,0.82,0.097,0.242,-1.384,-22.801,33.275
1.915,8.246,-4.879,2.991,8.777,-3.193,-1.025,2.805,-0.691,-2.864,-1.544,3.35,0.806,0.114,0.263,-2.797,-22.209,32.445
2.748,8.203,-3.735,3.084,8.901,-2.725,-1.184,3.948,-0.747,-3.156,-2.011,4.307,0.787,0.138,0.292,-4.19,-23.755,31.007
2.004,7.779,-1.949,3.146,9.042,-2.125,-1.365,5.21,-0.984,-4.859,-1.913,6.135,0.761,0.17,0.329,-4.875,-23.863,29.73
-0.254,7.449,-1.771,3.068,9.221,-1.313,-1.763,6.947,-1.549,-9.056,-1.377,10.79,0.722,0.213,0.376,-6.323,-26.091,30.823
-0.754,7.401,-1.726,2.749,9.41,-0.244,-2.134,10.246,-2.203,-16.88,-4.197,12.074,0.66,0.277,0.44,-9.813,-26.999,28.352
0.155,7.317,0.127,2.193,9.522,0.835,-1.709,13.001,-1.873,-28.497,-8.582,16.443,0.577,0.353,0.516,-11.905,-26.366,27.776
-0.048,6.958,1.561,1.771,9.508,1.62,-0.518,14.029,0.22,-27.222,-11.251,20.339,0.49,0.421,0.595,-13.434,-26.553,23.389
-1.698,7.176,3.999,1.644,9.439,2.091,0.132,12.423,1.96,-8.732,-4.14,13.039,0.418,0.468,0.661,-18.901,-28.629,18.399
-5.981,7.865,9.474,1.73,9.327,2.487,-0.356,8.049,2.099,12.267,5.856,15.168,0.372,0.485,0.706,-22.626,-30.325,13.881
-14.138,5.191,11.83,2.007,9.181,2.804,-0.78,3.874,1.774,32.936,8.601,11.705,0.354,0.481,0.732,-28.004,-27.547,1.35
-26.324,0.85,17.27,2.207,9.062,3.029,-0.759,2.002,0.814,37.006,7.158,5.874,0.347,0.475,0.748,-29.016,-27.745,-5.273
-25.479,-1.894,21.934,2.317,8.979,3.192,-0.319,2.436,0.624,33.154,5.635,4.197,0.335,0.474,0.761,-29.561,-27.866,-6.238
-7.116,5.136,15.093,2.425,8.952,3.186,0.511,2.156,0.913,20.081,8.99,1.487,0.328,0.48,0.769,-29.858,-25.705,-5.956
13.977,15.076,17.626,2.447,8.986,3.072,0.773,0.926,0.282,8.626,9.219,-0.871,0.326,0.487,0.768,-31.146,-25.264,-8.76
34.938,17.76,14.502,2.374,9.026,3.01,0.316,0.167,-0.361,1.211,2.946,-1.924,0.324,0.492,0.766,-30.164,-25.658,-8.71
43.273,16.276,8.921,2.312,9.038,3.023,-0.069,-0.07,-0.323,-2.129,-1.761,0.103,0.322,0.492,0.765,-30.634,-24.96,-9.456
35.501,14.734,7.432,2.332,9.033,3.024,0.013,-0.391,0.042,-3.392,-5.674,2.861,0.325,0.49,0.765,-30.914,-24.936,-10.085
22.556,18.124,4.738,2.447,9.027,2.948,0.273,-0.897,0.382,-2.955,-5.103,1.964,0.333,0.488,0.762,-29.967,-24.989,-10.771
11.135,18.436,2.28,2.582,9.025,2.838,0.313,-1.081,0.432,-1.604,-1,0.012,0.344,0.487,0.758,-31.296,-23.431,-9.705
