accelerometer_x,accelerometer_y,accelerometer_z,gravity_x,gravity_y,gravity_z,gyros_x,gyros_y,gyros_z,lin_accel_x,lin_accel_y,lin_accel_z,game_rot_vec_x,game_rot_vec_y,game_rot_vec_z,magn_field_x,magn_field_y,magn_field_z
1.47,-4.257,8.828,1.786,-3.929,8.806,0.332,0.169,0.075,1.474,0.152,2.439,-0.219,-0.056,-0.169,11.227,35.68,-25.668
1.652,-4.228,8.859,1.626,-3.815,8.887,0.372,0.997,-0.051,2.031,1.854,6.424,-0.211,-0.049,-0.171,9.966,36.252,-25.273
1.829,-4.333,8.77,1.169,-3.643,9.029,0.445,2.687,-0.225,1.909,4.467,10.862,-0.197,-0.025,-0.18,12.419,34.286,-25.824
1.956,-4.424,9.208,0.399,-3.296,9.228,1.196,4.388,-0.377,1.069,7.303,14.784,-0.171,0.013,-0.192,14.001,35.004,-25.191
2.394,-4.451,9.56,-0.576,-2.675,9.417,2.526,5.478,-0.476,1.266,10.394,16.183,-0.129,0.058,-0.206,15.048,33.78,-24.89
3.268,-3.795,11.287,-1.802,-1.786,9.473,3.956,6.822,-0.399,2.287,11.563,17.069,-0.069,0.111,-0.221,18.948,32.387,-25.742
3.675,-2.004,15.409,-3.274,-0.653,9.221,5.512,8.237,-0.098,2.423,8.767,17.318,0.007,0.173,-0.232,23.575,28.943,-24.249
3.103,0.747,20.08,-4.881,0.686,8.478,6.935,9.355,0.529,-0.578,6.47,15.537,0.098,0.241,-0.236,25.809,26.329,-24.409
1.482,3.896,24.325,-6.432,2.114,7.095,7.802,10.478,1.85,-6.018,2.075,15.375,0.199,0.314,-0.226,32.031,19.812,-22.554
0.663,7.59,26.054,-7.568,3.598,5.094,8.258,11.306,3.615,-6.862,0.144,16.23,0.305,0.384,-0.196,37.369,14.333,-19.937
0.371,9.663,27.146,-8.069,4.918,2.622,8.486,11.733,4.683,-7.683,-3.969,15.837,0.409,0.446,-0.154,42.413,9.814,-12.72
-1.113,8.061,27.277,-7.823,5.905,-0.32,7.995,13.541,5.534,-8.188,-9.129,12.677,0.506,0.511,-0.093,44.904,-0.319,-4.892
-5.926,7.221,24.826,-6.494,6.538,-3.356,6.692,15.299,6.607,-8.886,-10.162,3.546,0.589,0.57,-0.008,46.469,-8.453,6.648
-13.173,4.427,23.267,-4.235,6.781,-5.679,5.332,14.676,7.412,-10.68,-7.813,-1.294,0.653,0.603,0.086,41.621,-12.711,17.648
-15.392,4.2,21.972,-1.742,6.558,-7.08,4.443,12.909,6.81,-10.351,-8.457,-0.78,0.694,0.616,0.167,33.688,-15.623,29.257
-16.851,1.619,18.816,0.488,6.022,-7.725,3.505,11.189,4.933,-8.338,-11.396,-3.981,0.713,0.621,0.233,23.387,-16.531,37.024
-17.08,-2.418,12.314,2.293,5.474,-7.807,2.411,9.278,3.445,-7.185,-13.122,-1.149,0.716,0.621,0.286,14.319,-16.176,42.397
-16.252,-2.746,-0.261,3.842,4.999,-7.511,1.653,8.37,2.696,-7.331,-11.732,2.673,0.709,0.617,0.335,6.566,-14.201,42.677
-15.483,-0.122,-7.735,5.116,4.724,-6.905,0.59,8.041,1.568,-13.827,-13.689,4.236,0.691,0.612,0.385,-0.557,-13.11,44.766
-12.321,-1.041,-8.786,6.005,4.653,-6.201,-0.341,6.538,0.533,-15.176,-16.228,5.812,-0.67,-0.606,-0.427,-8.04,-13.272,42.638
-7.788,-4.613,-12.682,6.476,4.705,-5.665,-0.729,3.879,0.011,-12.512,-13.489,9.506,-0.654,-0.601,-0.457,-13.278,-10.62,41.649
-4.621,-7,-9.878,6.721,4.846,-5.245,-1.202,2.241,-0.336,-9.44,-13.239,10.805,-0.643,-0.595,-0.479,-17.235,-12.337,40.602
-3.077,-6.196,-5.645,6.842,5.065,-4.869,-1.683,1.377,-0.683,-6.721,-14.093,10.868,-0.634,-0.589,-0.499,-17.781,-14.577,37.21
-8.246,-8.535,-3.297,6.86,5.288,-4.599,-1.737,0.341,-0.641,-3.985,-10.911,11.166,-0.629,-0.582,-0.513,-19.199,-13.824,37
-8.746,-11.245,-0.828,6.807,5.478,-4.453,-1.407,-0.393,-0.592,-1.472,-7.571,9.588,-0.628,-0.577,-0.521,-20.68,-15.714,37.354
-5.703,-8.542,3.551,6.697,5.649,-4.405,-1.015,-0.781,-0.689,-0.299,-5.132,7.314,-0.628,-0.575,-0.524,-20.325,-18.852,35.64
-2.495,-8.231,5.385,6.545,5.804,-4.433,-0.717,-1.074,-0.77,1.069,-3.5,5.353,-0.629,-0.574,-0.523,-19.156,-19.919,35.809
0.237,-8.942,5.916,6.345,5.932,-4.552,-0.365,-1.385,-0.817,1.075,-2.44,2.883,0.632,0.577,0.518,-17.975,-19.49,35.022
