accelerometer_x,accelerometer_y,accelerometer_z,gravity_x,gravity_y,gravity_z,gyros_x,gyros_y,gyros_z,lin_accel_x,lin_accel_y,lin_accel_z,game_rot_vec_x,game_rot_vec_y,game_rot_vec_z,magn_field_x,magn_field_y,magn_field_z
6.584,28.484,-18.1,-0.38,9.411,-2.73,0.257,0.018,-0.554,-1.709,-3.514,4.118,0.317,0.734,0.541,21.49,-33.902,6.993
3.278,17.744,-13.805,-0.188,9.414,-2.74,0.147,0.498,0.907,-0.893,-4.123,4.334,0.321,0.733,0.545,23.077,-31.531,7.138
2.006,14.859,-9.102,0.149,9.437,-2.664,-0.439,1.227,1.421,0.134,-4.485,0.329,0.324,0.729,0.555,24.409,-33.092,6.374
-0.795,8.806,-9.859,0.476,9.389,-2.791,0.599,1.403,1.28,0.963,-4.805,-2.205,0.327,0.732,0.558,25.565,-32.024,7.605
-1.398,5.921,-4.637,0.769,9.253,-3.156,1.868,2.848,0.498,4.288,-3.882,-6.803,0.32,0.747,0.552,22.522,-33.299,6.209
-2.097,6.086,1.334,1.006,9.105,-3.5,1.61,5.435,-0.635,-0.244,-5.972,-21.701,0.289,0.771,0.55,21.953,-34.439,8.208
-1.085,5.445,1.549,1.149,8.966,-3.802,1.213,4.506,-0.908,-1.912,-8.449,-27.234,0.261,0.791,0.543,19.565,-35.117,8.727
0.285,5.076,-2.37,1.323,8.849,-4.014,1.125,4.765,-1.164,2.551,-6.033,-20.139,0.228,0.808,0.539,18.874,-33.986,15.282
1.444,4.681,-5.025,1.698,8.777,-4.031,0.88,8.406,-1.852,5.633,-4.013,-18.869,0.169,0.823,0.543,18.103,-34.131,18.246
5.064,5.459,-9.988,2.173,8.724,-3.916,1.108,10.98,-2.61,11.007,-7.628,-17.681,-0.09,-0.832,-0.543,16.055,-30.067,20.65
0.773,3.232,-25.239,2.68,8.741,-3.547,1.356,14.354,-3.854,19.198,-5.667,-13.982,0.018,-0.825,-0.536,13.507,-28.287,23.61
-0.75,0.63,-31.084,2.994,8.856,-2.963,1.938,18.243,-5.423,16.652,-6.683,-17.429,0.161,-0.791,-0.511,9.705,-29.564,27.011
3.893,2.945,-24.212,2.915,9.01,-2.549,2.419,16.809,-5.513,0.917,-10.813,-23.004,0.296,-0.736,-0.467,0.957,-24.91,29.527
7.362,4.923,-22.972,2.663,9.07,-2.612,2.537,9.674,-3.696,-11.649,-11.96,-21.286,0.382,-0.698,-0.428,-7.199,-26.695,29.053
13.223,1.269,-21.674,2.64,8.932,-3.07,3.766,6.95,-1.535,-22.476,-12.084,-19.866,0.444,-0.678,-0.379,-12.819,-24.197,29.388
21.94,3.278,-17.611,2.766,8.537,-3.955,6.745,7.756,-0.998,-37.543,-2.376,-18.932,0.516,-0.659,-0.305,-14.436,-24.574,27.866
19.723,2.404,-20.47,2.196,8.419,-4.524,4.145,5.405,-4.382,-41.45,7.177,-28.663,0.588,-0.621,-0.275,-19.313,-20.979,29.25
3.9,-1.592,-25.613,0.833,8.759,-4.331,-1.82,-3.816,-4.57,-36.717,8.385,-4.007,0.601,-0.6,-0.336,-23.393,-17.572,27.8
-8.94,-2.732,-23.944,-0.046,8.951,-4.005,-1.574,-4.161,-2.304,-19.068,1.245,15.02,0.594,-0.593,-0.386,-22.803,-18.573,25.195
-19.81,-3.062,-22.967,-0.177,8.919,-4.074,0.771,0.463,-0.52,-12.029,4.84,11.476,0.602,-0.588,-0.385,-19.157,-21.469,27.708
