accelerometer_x,accelerometer_y,accelerometer_z,gravity_x,gravity_y,gravity_z,gyros_x,gyros_y,gyros_z,lin_accel_x,lin_accel_y,lin_accel_z,game_rot_vec_x,game_rot_vec_y,game_rot_vec_z,magn_field_x,magn_field_y,magn_field_z
9.368,-0.797,-27.662,-2.671,-5.888,-7.374,0.478,0.543,0.315,8.101,13.203,-12.18,-0.778,0.521,-0.058,-14.47,31.837,23.505
11.341,4.71,-26.262,-2.521,-5.779,-7.511,-0.372,0.692,-0.094,6.915,11.322,-10.234,-0.78,0.524,-0.061,-14.003,32.645,22.234
10.436,8.461,-21.284,-2.276,-5.613,-7.713,-1.028,0.795,-0.77,6.453,8.189,-9.472,-0.788,0.521,-0.065,-14.664,33.862,20.142
6.313,7.654,-20.458,-1.917,-5.368,-7.98,-1.649,1.207,-1.218,5.998,5.834,-7.935,-0.8,0.517,-0.07,-13.76,34.621,21.027
5.171,6.924,-21.243,-1.408,-5.038,-8.295,-2.166,2.017,-1.464,4.394,3.33,-6.606,-0.813,0.512,-0.079,-13.248,33.269,21.123
5.406,7.262,-19.62,-0.698,-4.605,-8.63,-2.671,3.194,-1.557,2.59,-0.177,-5.861,-0.825,0.51,-0.096,-14.365,33.823,22.289
4.372,5.492,-17.81,0.324,-4.033,-8.933,-3.33,5.023,-1.439,1.636,-4.808,-5.35,-0.833,0.511,-0.124,-16.353,32.974,20.854
4.156,2.524,-17.257,1.727,-3.313,-9.067,-4.018,7.247,-1.207,0.663,-8.831,-4.108,-0.834,0.517,-0.167,-18.033,30.417,23.27
4.06,0.41,-15.998,3.418,-2.471,-8.853,-4.632,9.086,-1.125,-0.512,-12.879,-6.39,-0.824,0.522,-0.22,-20.847,29.781,22.392
2.969,-1.769,-15.002,5.169,-1.495,-8.198,-5.513,10.074,-1.217,-0.246,-17.483,-10.486,0.803,-0.523,0.274,-22.064,27.728,20.934
1.882,-4.85,-14.619,6.781,-0.424,-7.072,-6.23,10.467,-1.756,-0.86,-20.522,-10.35,0.772,-0.515,0.323,-26.056,22.882,19.661
1.965,-8.916,-14.449,8.013,0.613,-5.62,-6.252,9.813,-2.21,-1.924,-18.981,-7.859,0.734,-0.498,0.361,-30.023,22.987,17.833
2.428,-12.217,-13.376,8.767,1.5,-4.131,-5.83,8.301,-2.392,-3.186,-18.511,-8.611,0.694,-0.478,0.385,-32.706,20.071,13.159
2.997,-15.416,-15.481,9.172,2.203,-2.683,-5.456,7.125,-2.192,-7.095,-15.21,-7.786,0.654,-0.457,0.399,-35.834,17.523,7.716
5.092,-19.027,-18.952,9.343,2.657,-1.348,-5.094,5.901,-1.514,-9.744,-9.931,-1.851,0.612,-0.441,0.407,-37.309,16.669,3.59
6.17,-20.961,-17.681,9.404,2.781,-0.024,-4.755,5.601,-0.38,-10.828,-6.31,0.712,0.564,-0.428,0.418,-39.444,13.562,-1.965
6.39,-18.344,-13.69,9.396,2.567,1.136,-4.142,4.805,0.899,-10.808,-2.32,4.136,0.514,-0.421,0.432,-37.987,11.85,-4.855
5.899,-16.956,-12.893,9.37,2.157,1.928,-3.09,3.165,1.771,-9.217,2.246,8.139,0.473,-0.422,0.447,-36.943,11.978,-7.8
2.373,-12.936,-10.556,9.393,1.66,2.277,-2.125,1.202,2.372,-7.35,7.388,7.071,0.443,-0.433,0.458,-35.374,13.594,-14.24
-0.156,-7.204,-3.234,9.476,1.125,2.261,-1.51,-0.504,2.748,-4.405,11.067,7.216,0.425,-0.452,0.466,-32.48,12.77,-16.193
-1.236,-3.474,0.687,9.55,0.692,2.118,-0.917,-1.011,2.397,1.688,13.695,7.841,0.413,-0.47,0.471,-32.257,17.039,-15.718
-1.274,0.285,5.289,9.563,0.465,2.122,-0.419,-0.121,1.474,5.251,15.196,6.125,0.406,-0.476,0.476,-32.524,20.522,-15.796
0.258,4.427,10.089,9.527,0.464,2.278,-0.052,0.788,0.378,3.789,15.167,1.953,0.402,-0.471,0.48,-31.105,21.581,-15.303
