accelerometer_x,accelerometer_y,accelerometer_z,gravity_x,gravity_y,gravity_z,gyros_x,gyros_y,gyros_z,lin_accel_x,lin_accel_y,lin_accel_z,game_rot_vec_x,game_rot_vec_y,game_rot_vec_z,magn_field_x,magn_field_y,magn_field_z
10.142,5.835,-2.425,7.157,6.175,-2.611,-0.265,-0.569,-0.391,0.291,-2.592,0.046,0.288,-0.742,-0.203,-3.346,-40.315,14.122
9.275,6.685,-2.684,7.178,6.162,-2.583,-0.413,-0.094,0.055,0.324,-3.321,-0.371,0.284,-0.742,-0.205,-2.85,-39.842,13.132
5.741,5.155,-3.694,7.223,6.13,-2.534,-0.723,0.002,0.345,-3.422,-4.702,-2.242,0.278,-0.743,-0.207,-1.358,-39.775,13.408
7.484,3.613,-2.578,7.24,6.11,-2.535,-1.143,-0.768,0.485,-4.975,-4.56,-0.975,0.266,-0.747,-0.214,-2.884,-39.502,12.395
7.522,2.859,-2.961,7.224,6.107,-2.584,-1.495,-1.555,0.48,-3.699,-4.336,0.863,0.25,-0.754,-0.226,-3.296,-39.629,11.137
3.78,1.41,-4.769,7.185,6.105,-2.697,-1.691,-2.104,0.468,-2.587,-5.388,0.097,0.232,-0.764,-0.24,-3.304,-39.622,10.53
2.191,1.487,-3.483,7.105,6.136,-2.836,-2.016,-2.557,0.465,-3.169,-4.297,-0.35,0.21,-0.775,-0.258,-2.934,-39.458,8.293
3.404,1.669,-1.678,6.95,6.227,-3.015,-2.578,-3.33,0.411,-4.405,-3.208,-1.066,0.185,-0.787,-0.282,-1.192,-41.045,7.561
4.434,0.577,-2.538,6.689,6.412,-3.211,-3.156,-4.472,0.171,-2.551,-1.372,2.747,0.154,-0.8,-0.315,-2.876,-40.59,5.788
3.735,1.664,-3.105,6.343,6.709,-3.306,-3.366,-4.433,-0.582,3.267,1.154,3.157,0.127,-0.808,-0.352,-1.237,-41.003,3.764
2.31,2.809,-3.979,5.91,7.092,-3.309,-3.587,-4.075,-1.301,1.108,-2.435,0.507,0.106,-0.811,-0.391,-0.215,-42.204,1.938
3.886,4.798,-0.342,5.438,7.447,-3.337,-3.952,-5.192,-0.858,-1.605,-2.679,-0.383,0.076,-0.815,-0.431,1.883,-41.649,-0.891
9.383,7.623,-0.031,4.956,7.825,-3.223,-4.524,-6.066,-0.498,-0.895,1.072,5.34,0.036,-0.814,-0.475,3.635,-41.896,-3.806
6.799,4.394,-2.679,4.53,8.215,-2.857,-4.474,-4.54,-0.805,-2.386,1.267,8.233,0.007,-0.803,-0.519,4.013,-42.049,-7.431
3.615,4.47,-3.586,4.211,8.509,-2.458,-4.086,-3.96,-0.547,-1.591,1.352,5.895,-0.02,-0.791,-0.555,3.4,-41.643,-10.944
3.855,8.571,2.251,3.885,8.755,-2.107,-3.894,-5.203,-0.405,-0.333,5.039,8.96,-0.055,-0.777,-0.589,3.43,-40.63,-13.449
1.944,9.12,5.502,3.496,8.99,-1.77,-3.577,-5.505,-1.028,3.587,6.884,9.204,-0.087,-0.763,-0.619,2.96,-38.583,-17.137
2.43,9.476,3.548,3.138,9.176,-1.459,-3.105,-4.73,-1.237,2.938,1.647,5.438,-0.113,-0.749,-0.642,-0.009,-39.04,-18.622
3.385,13.42,6.943,2.925,9.278,-1.24,-2.592,-4.276,-0.452,-1.936,-1.414,0.079,-0.139,-0.737,-0.656,-0.452,-40.642,-20.442
6.955,15.543,7.499,2.699,9.371,-1.036,-2.48,-4.446,-0.232,-7.747,3.249,-0.689,-0.166,-0.725,-0.668,-1.793,-37.415,-21.23
5.966,10.501,4.03,2.366,9.473,-0.912,-2.132,-5.534,-1.276,3.661,7.869,-0.552,0.195,0.713,0.673,-5.527,-34.86,-21.954
0.881,7.52,-1.115,1.818,9.591,-0.934,-1.11,-5.098,-2.998,14.152,7.122,-3.306,0.212,0.709,0.669,-6.569,-33.951,-23.795
-5.145,12.282,-1.688,1.273,9.655,-1.154,0.179,-3.215,-2.98,10.453,1.322,-9.423,0.216,0.716,0.655,-6.458,-33.319,-21.767
5.961,17.08,-1.439,1.053,9.652,-1.382,0.737,-1.366,-0.994,1.17,3.727,-6.2,0.22,0.723,0.644,-7.43,-32.935,-21.057
15.938,16.539,-4.223,1.077,9.632,-1.494,0.529,0.864,0.214,-3.307,10.582,-4.652,0.215,0.728,0.641,-7.875,-32.413,-20.905
