accelerometer_x,accelerometer_y,accelerometer_z,gravity_x,gravity_y,gravity_z,gyros_x,gyros_y,gyros_z,lin_accel_x,lin_accel_y,lin_accel_z,game_rot_vec_x,game_rot_vec_y,game_rot_vec_z,magn_field_x,magn_field_y,magn_field_z
0.941,7.676,-5.904,0.773,7.822,-5.864,-0.229,-0.725,0.04,-0.763,0.592,-1.206,0.208,-0.869,-0.424,8.92,-39.919,31.856
0.74,7.798,-6.103,0.629,7.867,-5.821,-0.401,-1.08,-0.048,-1.771,0.252,-1.313,0.203,-0.869,-0.429,10.413,-39.851,32.132
0.974,7.47,-6.529,0.387,7.935,-5.75,-0.618,-1.74,-0.104,-4.635,-0.507,-2.295,0.197,-0.869,-0.438,9.293,-39.601,30.846
0.843,7.322,-6.629,-0.069,8.024,-5.637,-0.883,-3.46,-0.094,-8.862,-1.474,-3.918,0.182,-0.869,-0.452,11.008,-39.043,30.11
0.227,7.602,-6.938,-0.833,8.151,-5.389,-1.268,-6.444,0.053,-11.518,-1.376,-3.407,0.152,-0.867,-0.473,11.519,-40.396,30.208
0.014,7.882,-7.211,-1.851,8.316,-4.856,-1.71,-9.442,0.096,-11.853,-0.928,-1.416,-0.107,0.858,0.5,13.167,-40.971,27.869
-0.003,8.289,-6.976,-2.907,8.505,-3.923,-2.149,-11.748,0.333,-14.158,-2.087,1.354,-0.047,0.835,0.527,16.524,-40.677,26.488
-1.152,7.997,-7.043,-3.657,8.733,-2.555,-2.504,-13.669,1.382,-18.339,-4.592,6.015,0.03,0.793,0.551,20.934,-41.917,23.715
-4.255,7.307,-7.958,-3.804,8.989,-0.949,-2.556,-14.443,2.576,-17.152,-6.703,12.529,0.12,0.731,0.568,25.81,-44.472,17.242
-8.931,6.433,-9.474,-3.391,9.189,0.483,-1.762,-14.044,2.97,-10.564,-7.752,17.631,0.211,0.656,0.57,29.019,-44.504,0.49
-12.34,6.663,-8.722,-2.675,9.329,1.412,-0.019,-13.448,2.492,-0.049,-4.654,19.895,0.3,0.581,0.55,26.12,-45.372,-9.521
-13.681,7.283,-6.21,-1.996,9.448,1.707,2.069,-12.917,1.29,5.728,-2.839,15.37,0.387,0.513,0.503,20.067,-43.597,-16.408
-17.03,6.318,-2.523,-1.675,9.54,1.531,3.41,-12.302,-0.533,3.347,0.891,5.463,0.463,0.456,0.432,14.108,-46.46,-22.099
-21.955,4.044,3.489,-1.924,9.538,1.226,3.45,-10.823,-2.75,-4.873,0.59,-3.989,0.516,0.414,0.345,8.723,-45.14,-20.917
-20.911,2.181,11.591,-2.577,9.415,0.941,2.954,-8.236,-3.737,-23.788,-7.768,-15.347,0.546,0.392,0.258,3.362,-45.807,-19.116
-13.91,1.317,18.108,-3.192,9.238,0.796,1.983,-6.18,-2.886,-36.084,-11.375,-23.335,0.563,0.378,0.188,2.551,-47.266,-16.553
-2.686,4.544,21.287,-3.597,9.076,0.927,0.526,-5.165,-1.751,-34.695,-9.399,-22.746,0.569,0.36,0.137,4.486,-47.409,-14.586
3.761,6.472,17.052,-3.638,9.04,1.099,-0.1,-3.496,-0.157,-16.504,-5.494,-19.722,0.573,0.339,0.113,5.698,-48.82,-13.071
1.695,10.298,6.972,-3.507,9.078,1.208,-0.359,-1.621,0.633,-4.842,1.68,-14.176,0.577,0.325,0.108,8.882,-49.525,-12.411
-6.771,9.998,-2.779,-3.397,9.1,1.349,-0.557,-1.289,0.373,1.334,2.942,-9.745,0.577,0.313,0.105,6.604,-48.221,-12.955
-26.327,1.506,-14.42,-3.34,9.094,1.524,-0.439,-1.694,-0.063,4.051,1.139,-4.003,0.576,0.3,0.097,7.124,-49.582,-12.1
-45.27,-2.282,-22.551,-3.32,9.093,1.572,0.109,-0.942,-0.128,3.258,-1.027,0.491,0.578,0.293,0.091,5.547,-48.645,-13.222
-38.238,-0.46,-21.832,-3.345,9.112,1.398,0.771,0.477,-0.035,0.041,-2.767,-0.5,0.583,0.298,0.091,5.449,-49.289,-14.188
-20.085,3.405,-18.641,-3.383,9.131,1.163,0.88,0.95,0,-2.292,-1.678,-1.949,0.589,0.307,0.093,4.439,-48.407,-13.446
-8.296,10.623,-12.986,-3.404,9.134,1.069,0.422,0.116,-0.048,-2.024,-0.198,-1.572,0.592,0.309,0.092,3.491,-48.354,-12.758
