accelerometer_x,accelerometer_y,accelerometer_z,gravity_x,gravity_y,gravity_z,gyros_x,gyros_y,gyros_z,lin_accel_x,lin_accel_y,lin_accel_z,game_rot_vec_x,game_rot_vec_y,game_rot_vec_z,magn_field_x,magn_field_y,magn_field_z
8.281,8.069,17.38,1.294,9.708,-0.498,-0.599,0.173,0.273,-1.055,2.77,12.243,0.69,-0.221,-0.122,5.551,-31.888,-21.008
6.215,8.076,19.889,1.304,9.715,-0.293,-0.554,1.512,0.06,-2.218,2.989,10.016,0.686,-0.21,-0.113,4.829,-31.499,-22.252
2.887,11.241,21.778,1.296,9.72,-0.092,-0.405,2.624,-0.023,-2.327,3.115,9.284,0.685,-0.19,-0.097,4.916,-31.001,-23.122
0.962,12.354,20.595,1.295,9.72,0.101,-0.194,3.788,0.046,-1.534,3.805,9.863,0.684,-0.163,-0.072,4.916,-31.001,-23.122
0.855,11.914,15.622,1.306,9.715,0.282,-0.044,4.625,0.199,-1.432,5.51,9.291,0.685,-0.13,-0.039,4.486,-30.956,-24.823
0.249,12.546,11.741,1.252,9.715,0.462,-0.034,4.575,-0.035,-2.159,5.369,10.246,0.684,-0.096,-0.008,4.985,-30.33,-24.586
-0.903,12.785,9.721,1.128,9.722,0.613,0.164,4.446,-0.338,-1.882,3.687,13.979,0.682,-0.061,0.02,7.681,-31.668,-23.402
-1.018,12.931,9.192,1.003,9.734,0.65,0.86,4.887,-0.291,-1.445,1.928,18.623,0.683,-0.022,0.051,11.62,-31.439,-21.857
-0.223,13.642,9.965,0.957,9.747,0.508,1.92,6.505,0.143,-0.742,-1.479,19.748,0.688,0.026,0.098,11.678,-32.263,-22.366
-0.105,15.373,9.577,1.115,9.742,0.148,3.136,8.204,1.065,-1.279,-6.315,15.91,0.697,0.08,0.161,13.641,-32.741,-20.119
-0.884,15.263,10.717,1.616,9.665,-0.394,4.245,8.433,2.509,-4.496,-10.938,11.692,0.71,0.128,0.234,15.508,-32.05,-18.553
-0.73,13.611,14.605,2.526,9.418,-1.049,4.991,6.719,4.3,-7.005,-16.072,7.542,0.728,0.153,0.302,20.11,-34.7,-13.818
-0.419,11.88,19.288,3.706,8.895,-1.821,5.423,3.665,5.756,-5.705,-21.981,5.687,0.755,0.149,0.355,17.062,-37.437,-1.352
0.237,8.483,20.267,4.917,8.041,-2.707,5.849,1.534,6.333,-0.838,-27.658,4.227,0.789,0.127,0.392,13.446,-39.386,2.017
-0.144,3.608,16.061,6.091,6.816,-3.553,6.171,1.041,6.824,1.52,-31.16,2.34,0.819,0.099,0.424,7.001,-39.684,6.642
-2.861,-1.159,11.294,7.145,5.196,-4.257,6.182,0.785,7.625,-2.444,-31.994,-0.991,0.845,0.061,0.452,2.734,-41.772,11.618
-4.475,-6.637,6.491,7.858,3.298,-4.852,5.751,-0.295,8.226,-3.99,-26.894,-3.152,0.864,0.013,0.466,-2.615,-38.516,16.888
-2.04,-13.182,3.886,8.15,1.454,-5.257,4.95,-0.802,7.59,-3.176,-21.58,-3.565,0.876,-0.034,0.471,-6.49,-35.489,19.072
3.96,-19.812,1.585,8.213,-0.163,-5.357,3.805,-0.118,6.717,-2.664,-18.589,-4.913,0.876,-0.078,0.475,-12.093,-30.577,25.2
7.391,-24.591,-1.084,8.138,-1.534,-5.253,2.388,0.552,6.268,-3.221,-15.399,-5.905,-0.868,0.123,-0.481,-17.088,-25.485,26.074
4.372,-27.038,-5.051,7.938,-2.645,-5.115,0.904,0.764,5.82,-4.549,-14.038,-5.303,-0.855,0.172,-0.485,-19.147,-21.413,27.719
3.459,-23.767,-7.752,7.712,-3.533,-4.922,-0.369,1.503,5.408,-4.82,-14.495,-5.517,-0.837,0.223,-0.492,-23.184,-18.352,27.614
4.532,-20.205,-8.537,7.454,-4.302,-4.701,-1.557,2.425,5.475,-7.075,-17.592,-8.01,-0.813,0.281,-0.501,-24.768,-15.443,27.24
5.107,-18.744,-9.981,7.031,-5.069,-4.586,-2.555,2.512,6.23,-8.301,-21.185,-6.179,-0.782,0.35,-0.505,-26.146,-13.531,26.355
4.491,-16.853,-10.884,6.382,-5.866,-4.585,-2.966,2.336,7.136,-8.78,-25.644,-4.094,-0.744,0.425,-0.503,-29.84,-8.162,24.165
2.985,-16.549,-10.158,5.41,-6.631,-4.788,-2.855,1.032,7.914,-5.918,-27.581,-2.954,-0.703,0.5,-0.488,-30.742,-7.419,21.564
2.516,-17.856,-10.199,4.202,-7.252,-5.092,-2.434,-0.244,8.188,0.666,-28.304,-0.059,-0.661,0.568,-0.463,-33.105,-1.488,20.735
0.041,-21.699,-12.497,2.891,-7.696,-5.347,-1.717,-0.8,8.205,8.627,-27.518,-2.398,-0.617,0.626,-0.436,-33.842,1.19,21.626
-1.561,-26.044,-10.575,1.49,-7.942,-5.557,-1.102,-2.069,7.865,16.186,-21.771,-2.119,-0.577,0.671,-0.403,-32.784,5.083,21.382
-2.624,-31.302,-8.516,0.293,-8.021,-5.634,-0.505,-2.063,6.72,23.046,-14.945,0.28,-0.541,0.703,-0.376,-31.696,6.984,22.363
-0.654,-34.033,-7.613,-0.558,-8.018,-5.619,-0.015,-1.165,5.337,27.996,-10.68,-1.855,-0.509,0.726,-0.359,-29.608,15.414,23.587
4.8,-35.439,-5.068,-1.208,-7.979,-5.571,0.226,-0.92,4.372,31.42,-6.172,-2.584,-0.483,0.742,-0.347,-26.46,15.207,24.28
11.509,-35.19,-7.728,-1.636,-7.926,-5.538,0.28,-0.44,3.333,31.796,-0.242,-2.77,-0.462,0.754,-0.341,-23.875,22.145,23.311
17.688,-29.774,-7.719,-1.768,-7.898,-5.538,0.263,0.384,1.909,27.267,3.26,-1.836,-0.448,0.763,-0.341,-21.167,22.763,26.761
23.343,-23.08,-5.435,-1.653,-7.914,-5.55,0.329,0.941,0.66,24.163,3.699,-3.006,-0.441,0.767,-0.348,-18.849,22.617,26.631
27.428,-18.845,-7.577,-1.381,-7.958,-5.561,0.306,0.955,-0.323,23.879,4.43,-2.869,-0.442,0.767,-0.358,-18.28,25.877,26.758
