accelerometer_x,accelerometer_y,accelerometer_z,gravity_x,gravity_y,gravity_z,gyros_x,gyros_y,gyros_z,lin_accel_x,lin_accel_y,lin_accel_z,game_rot_vec_x,game_rot_vec_y,game_rot_vec_z,magn_field_x,magn_field_y,magn_field_z
-0.163,4.37,-7.939,-0.064,5.581,-8.064,-0.044,-0.053,-0.046,2.264,1.07,1.655,0.95,-0.095,-0.033,18.153,-11.574,33.537
0.428,4.71,-7.008,0.083,5.58,-8.064,0.095,0.695,0.194,1.188,1.56,0.819,0.95,-0.095,-0.025,18.509,-12.437,35.175
0.792,5.196,-7.156,0.274,5.573,-8.065,0.078,0.922,0.416,-0.39,1.648,-1.075,0.95,-0.096,-0.015,17.561,-12.692,33.714
0.357,6.024,-7.929,0.367,5.579,-8.056,-0.019,0.328,0.316,0.419,0.955,-0.146,0.949,-0.098,-0.011,17.636,-13.84,32.576
-1.291,7.398,-10.47,0.362,5.579,-8.057,0.038,-0.029,-0.076,0.765,0.728,0.182,0.949,-0.098,-0.011,15.791,-12.428,35.11
0.582,7.034,-7.886,0.334,5.571,-8.063,0.085,-0.158,-0.142,1.379,0.317,0.618,0.95,-0.097,-0.012,16.832,-13.646,34.802
1.683,6.603,-6.368,0.368,5.558,-8.071,0.099,0.139,-0.024,1.405,-0.1,0.795,0.95,-0.097,-0.01,17.877,-11.398,34.288
2.2,6.651,-6.409,0.463,5.553,-8.07,0.034,0.555,0.07,-0.263,0.476,-0.544,0.95,-0.095,-0.005,16.113,-13.263,34.013
1.271,7.142,-7.247,0.53,5.565,-8.057,-0.048,0.424,0.026,-0.427,0.777,-0.02,0.95,-0.094,-0.001,16.554,-13.626,34.479
-0.115,7.233,-9.158,0.582,5.597,-8.031,-0.148,0.439,-0.191,0.163,0.21,1.024,0.949,-0.091,0.002,17.514,-13.69,34.854
0.788,6.551,-8.226,0.698,5.65,-7.985,-0.287,0.849,-0.279,1.025,-0.707,1.69,0.949,-0.086,0.01,14.719,-12.531,35.625
1.128,6.326,-7.901,0.923,5.725,-7.908,-0.436,1.514,-0.26,1.108,-1.068,1.975,0.947,-0.079,0.024,15.456,-11.583,35.144
1.714,5.904,-7.47,1.255,5.83,-7.785,-0.615,2.312,-0.334,0.36,-1.223,1.964,0.945,-0.069,0.044,14.923,-13.527,34.962
1.774,5.471,-7.295,1.666,5.97,-7.599,-0.782,3.023,-0.559,0.482,-1.743,2.998,0.94,-0.055,0.071,13.113,-14.578,36.11
0.201,6.046,-8.638,2.155,6.144,-7.333,-0.903,3.969,-0.912,-0.479,-2.38,3.524,0.934,-0.034,0.105,11.334,-12.494,36.874
0.105,6.362,-8.104,2.713,6.362,-6.952,-1.125,4.874,-1.044,-2.606,-2.624,3.498,0.924,-0.008,0.147,9.822,-12.389,36.002
0.747,5.823,-7.029,3.32,6.613,-6.435,-1.34,5.533,-1.006,-2.775,-2.618,4.225,0.91,0.019,0.194,6.86,-14.201,38.217
1.724,4.949,-6.304,3.949,6.881,-5.764,-1.246,6.564,-1.317,-2.332,-2.321,5.882,0.889,0.053,0.249,2.689,-14.758,37.843
2.03,4.652,-5.925,4.521,7.148,-4.963,-0.955,7.546,-1.663,-3.384,-1.276,4.847,0.863,0.095,0.31,-2.141,-17.413,37.268
1.611,4.59,-5.796,4.976,7.439,-4.01,-1.112,7.941,-1.7,-3.036,1.116,4.148,0.828,0.137,0.372,-6.819,-16.931,35.258
2.138,4.19,-4.554,5.272,7.773,-2.821,-1.694,8.52,-1.721,-4.061,3.659,5.236,0.782,0.18,0.437,-10.645,-16.684,34.97
1.654,3.702,-3.735,5.336,8.105,-1.416,-2.107,9.569,-1.763,-7.688,5.626,4.31,0.722,0.225,0.506,-15.739,-19.794,31.911
0.067,3.644,-3.352,5.096,8.377,0.166,-2.4,10.962,-1.662,-13.729,4.358,2.064,0.646,0.273,0.578,-21.33,-19.905,29.178
0.479,3.864,-2.083,4.625,8.456,1.81,-2.447,11.925,-0.581,-20.196,-0.225,3.319,0.556,0.315,0.654,-26.282,-21.526,24.87
1.518,4.386,0.264,4.177,8.269,3.217,-2.125,10.946,1.582,-21.763,0.961,5.022,0.47,0.339,0.723,-28.853,-22.769,17.288
1.003,5.66,0.031,3.843,7.928,4.307,-2.074,8.525,2.712,-14.381,6.148,7.355,0.402,0.345,0.778,-32.092,-24.29,8.722
1.781,8.318,0.266,3.762,7.517,5.051,-1.84,5.094,2.922,-4.572,3.228,11.027,0.361,0.335,0.815,-33.91,-22.635,3.38
1.039,11.179,2.507,3.975,7.055,5.531,-1.177,2.898,3.477,4.83,-1.183,15.184,0.343,0.317,0.842,-33.98,-21.069,-4.259
-2.526,13.465,2.94,4.211,6.598,5.908,-0.64,2.724,3.514,12.904,-2.786,15.574,0.329,0.301,0.864,-36.038,-17.766,-7.983
-8.816,12.436,2.224,4.394,6.229,6.17,-0.276,2.209,2.75,17.16,-3.743,12.768,0.32,0.288,0.88,-36.63,-15.878,-11.54
-15.773,7.86,5.05,4.554,5.922,6.353,-0.015,1.82,2.297,16.638,-7.827,7.271,0.314,0.278,0.891,-35.876,-15.408,-13.724
-17.794,8.818,8.078,4.853,5.643,6.385,0.375,1.118,2.553,19.261,-9.71,-1.802,0.318,0.271,0.898,-35.31,-10.333,-13.62
-10.721,13.697,11.457,5.421,5.395,6.138,0.656,-1.163,2.676,18.148,-4.827,-3.843,0.343,0.264,0.894,-36.743,-9.567,-15.047
-0.97,10.427,15.864,5.96,5.189,5.807,0.618,-2.062,2.134,14.3,0.532,2.247,0.371,0.258,0.887,-37.07,-8.73,-14.253
8.669,5.629,20.526,6.196,5.036,5.694,0.423,-0.359,1.458,11.605,1.655,2.112,0.381,0.255,0.885,-37.57,-7.697,-15.434
17.015,3.656,21.342,6.173,4.955,5.789,0.348,1.206,0.832,6.441,-0.644,-0.648,0.374,0.255,0.889,-38.588,-4.842,-14.098
21.497,2.406,18.859,6.098,4.969,5.856,0.491,1.029,0.173,2.714,-3.821,-2.513,0.367,0.258,0.891,-38.522,-2.048,-13.589
21.162,-1.944,13.583,6.103,5.041,5.788,0.475,-0.152,-0.406,3.147,-4.985,-0.816,0.369,0.263,0.889,-38.454,-2.882,-13.037
24.093,-4.092,4.554,6.116,5.174,5.656,0.393,-0.704,-0.942,3.002,-4.454,-1.54,0.374,0.268,0.885,-39.207,-3.815,-13.922
23.566,0.565,2.292,6.123,5.305,5.526,0.227,-0.828,-1.003,2.814,-2.37,-0.411,0.38,0.272,0.88,-37.668,-2.441,-12.639
