accelerometer_x,accelerometer_y,accelerometer_z,gravity_x,gravity_y,gravity_z,gyros_x,gyros_y,gyros_z,lin_accel_x,lin_accel_y,lin_accel_z,game_rot_vec_x,game_rot_vec_y,game_rot_vec_z,magn_field_x,magn_field_y,magn_field_z
2.308,-4.743,7.571,2.807,-5.039,7.931,0.048,-0.083,0.013,-0.169,0.332,0.021,0,0,0,-18.614,83.093,74.181
2.782,-5.035,7.643,2.827,-5.084,7.895,0.051,-0.098,0.016,-0.061,-0.009,-0.324,-0.098,-0.296,0.643,-17.726,82.207,74.644
2.722,-4.491,7.592,2.843,-5.17,7.833,0.05,-0.214,0.005,-0.056,-0.383,-0.175,-0.101,-0.301,0.643,-17.542,81.538,74.458
2.54,-4.53,7.674,2.869,-5.228,7.785,0.044,-0.295,-0.008,0.008,-0.516,0.134,-0.102,-0.305,0.644,-19.508,80.362,72.699
2.641,-4.867,7.221,2.899,-5.256,7.755,0.069,-0.261,0.022,0.096,-0.473,0.252,-0.101,-0.307,0.644,-19.241,80.656,74.413
2.665,-5.329,7.319,2.924,-5.271,7.736,0.095,-0.225,0.062,0.114,-0.426,0.255,-0.1,-0.309,0.645,-17.871,80.565,74.818
2.775,-5.559,7.643,2.942,-5.27,7.729,0.104,-0.217,0.043,-0.009,-0.243,0.169,-0.099,-0.31,0.646,-18.884,81.142,73.108
2.916,-5.586,7.796,2.985,-5.245,7.729,0.126,-0.242,-0.02,0.011,0.073,-0.046,-0.096,-0.311,0.646,-19.74,80.032,74.023
2.978,-5.588,7.832,3.025,-5.218,7.733,0.134,-0.245,-0.047,-0.042,0.05,0.02,-0.094,-0.311,0.647,-19.029,81.311,73.564
2.882,-5.423,7.765,3.052,-5.199,7.735,0.118,-0.2,-0.042,-0.094,-0.015,0.023,-0.092,-0.312,0.647,-18.469,81.265,74.669
2.942,-5.078,7.544,3.085,-5.191,7.727,0.108,-0.208,-0.055,-0.013,-0.222,0.033,-0.09,-0.313,0.647,-19.061,81.65,72.978
2.928,-5.073,7.611,3.127,-5.184,7.715,0.146,-0.215,-0.113,0.053,-0.443,0.049,-0.088,-0.314,0.647,-19.083,81.978,73.305
2.902,-5.119,7.616,3.169,-5.156,7.716,0.201,-0.169,-0.173,-0.043,-0.177,-0.151,-0.086,-0.315,0.647,-20.219,79.08,73.311
3.019,-5.325,7.628,3.198,-5.116,7.731,0.202,-0.119,-0.195,-0.141,-0.056,0.037,-0.083,-0.314,0.646,-19.58,81.506,74.142
3.134,-5.55,7.65,3.222,-5.083,7.743,0.185,-0.114,-0.177,-0.179,-0.133,0.033,-0.082,-0.314,0.646,-19.518,82.027,71.147
3.079,-5.255,7.449,3.249,-5.067,7.742,0.152,-0.145,-0.135,-0.198,-0.196,-0.239,-0.08,-0.314,0.646,-19.389,80.522,72.417
3.009,-5.095,7.652,3.268,-5.062,7.738,0.108,-0.137,-0.121,-0.24,-0.402,-0.044,-0.079,-0.315,0.645,-20.676,81.424,72.833
2.995,-5.14,7.662,3.277,-5.07,7.728,0.087,-0.108,-0.096,-0.148,-0.81,0.209,-0.079,-0.316,0.645,-19.261,80.675,72.742
3,-5.183,7.382,3.283,-5.088,7.714,0.07,-0.076,-0.038,0.047,-0.962,0.217,-0.08,-0.317,0.645,-19.679,78.897,71.822
2.978,-5.387,7.576,3.302,-5.098,7.699,0.048,-0.121,-0.007,0.216,-0.734,0.299,-0.079,-0.318,0.645,-20.857,80.278,73.041
3.088,-5.818,7.841,3.336,-5.092,7.689,0.06,-0.214,-0.029,0.257,-0.561,0.631,-0.077,-0.319,0.646,-19.666,78.885,72.885
3.301,-6.005,7.863,3.367,-5.093,7.675,0.057,-0.163,-0.054,0.325,-0.798,0.534,-0.076,-0.321,0.646,-20.45,81.757,71.054
3.5,-5.803,7.956,3.366,-5.109,7.664,0.049,-0.024,0.005,0.157,-0.95,0.243,-0.077,-0.321,0.646,-20.412,79.604,71.814
