accelerometer_x,accelerometer_y,accelerometer_z,gravity_x,gravity_y,gravity_z,gyros_x,gyros_y,gyros_z,lin_accel_x,lin_accel_y,lin_accel_z,game_rot_vec_x,game_rot_vec_y,game_rot_vec_z,magn_field_x,magn_field_y,magn_field_z
-4.657,6.141,-1.489,-0.814,7.688,-6.033,0.175,0.675,0.165,0.233,-0.041,1.298,0.726,-0.53,-0.295,27.365,-28.249,12.573
-5.162,7.195,-4.357,-0.679,7.679,-6.062,0.118,0.917,0.125,0.925,-0.296,1.428,0.728,-0.528,-0.287,26.717,-28.699,12.186
-2.871,7.372,-4.261,-0.49,7.691,-6.064,-0.058,1.364,0.076,2.138,-0.96,2.431,0.731,-0.524,-0.277,26.508,-25.578,14.821
-0.762,7.247,-4.166,-0.238,7.733,-6.026,-0.287,2.137,-0.153,3.154,-1.291,4.263,0.736,-0.515,-0.263,26.582,-28.537,13.402
-0.575,7.592,-4.692,0.084,7.805,-5.937,-0.5,3.202,-0.538,4.002,-1.578,6.165,0.745,-0.498,-0.243,24.988,-28.781,14.926
0.251,7.324,-4.587,0.498,7.918,-5.764,-0.787,4.476,-0.864,4.081,-1.569,7.981,0.755,-0.473,-0.216,23.701,-27.879,15.344
1.652,6.663,-3.579,1.032,8.08,-5.461,-1.133,6.037,-1.058,3.348,-1.85,9.309,0.766,-0.437,-0.179,23.57,-27.722,16.862
2.918,6.359,-1.697,1.687,8.276,-4.983,-1.432,7.747,-1.121,3.171,-2.754,9.583,0.776,-0.391,-0.13,22.415,-28.326,18.701
4.084,6.122,0.307,2.382,8.485,-4.301,-1.617,9.312,-1.185,2.361,-4.064,8.638,0.78,-0.333,-0.068,21.378,-28.77,20.105
4.57,6.22,2.311,2.972,8.692,-3.433,-1.688,10.215,-1.312,1.228,-5.431,7.28,0.777,-0.266,0,18.935,-28.627,21.286
4.36,6.072,3.955,3.352,8.891,-2.426,-1.771,10.471,-1.44,0.094,-6.302,6.747,0.766,-0.193,0.069,15.244,-29.582,24.719
4.819,5.332,4.714,3.531,9.055,-1.306,-1.849,10.809,-1.358,-0.389,-7.986,7.97,0.744,-0.117,0.141,10.684,-30.287,25.215
4.681,4.197,4.451,3.531,9.148,-0.106,-1.877,11.432,-0.964,-1.174,-8.743,8.063,0.71,-0.038,0.218,6.189,-31.665,26.73
4.111,3,3.951,3.357,9.156,1.034,-1.686,11.467,-0.338,-3.779,-6.597,5.392,0.668,0.038,0.295,0.987,-31.168,26.503
3.333,2.289,4.403,3.147,9.063,2.031,-1.693,10.306,0.718,-5.755,-1.746,1.21,0.622,0.1,0.368,-2.676,-33.229,25
3.007,0.723,6.714,3.072,8.832,2.954,-2.161,8.671,2.199,-6.278,5.052,-1.013,0.575,0.139,0.436,-8.682,-33.308,21.78
2.207,0.015,7.961,3.277,8.41,3.835,-2.678,6.826,3.994,-2.151,8.343,-0.871,0.531,0.151,0.504,-14.481,-34.235,19.276
-0.577,2.136,6.378,3.852,7.793,4.539,-2.77,3.861,5.312,9.819,6.384,0.675,0.501,0.133,0.564,-18.011,-32.983,15.742
-2.758,6.883,3.144,4.752,7.122,4.781,-2.029,-0.548,5.066,23.586,2.188,5.527,0.498,0.089,0.597,-22.639,-33.627,10.62
-3.35,13.472,1.803,5.574,6.639,4.586,-0.671,-2.681,3.379,33.037,2.837,9.623,0.514,0.046,0.607,-26.237,-31.39,7.759
0.984,16.386,2.797,6.01,6.438,4.313,0.339,-1.75,1.515,32.614,7.355,7.174,0.529,0.025,0.608,-28.029,-29.759,4.543
13.522,13.875,5.038,6.09,6.409,4.243,0.497,0.291,0.476,21.492,10.807,0.696,0.532,0.026,0.612,-29.68,-24.207,4.048
28.192,9.091,10.161,5.981,6.47,4.304,0.211,1.171,-0.286,12.07,8.475,-6.09,0.528,0.035,0.616,-32.043,-25.06,5.469
