accelerometer_x,accelerometer_y,accelerometer_z,gravity_x,gravity_y,gravity_z,gyros_x,gyros_y,gyros_z,lin_accel_x,lin_accel_y,lin_accel_z,game_rot_vec_x,game_rot_vec_y,game_rot_vec_z,magn_field_x,magn_field_y,magn_field_z
6.682,10.415,-5.272,-2.052,9.518,-1.167,-1.045,-0.913,-0.748,-7.901,6.451,-2.99,0.337,0.668,0.516,22.937,-30.872,-11.363
-0.967,14.171,-4.668,-2.118,9.538,-0.839,-1.354,-1.561,-0.091,-3.364,6.081,-0.219,0.338,0.655,0.519,24.432,-29.15,-11.577
-7.755,18.981,-4.099,-2.103,9.56,-0.59,-1.19,-0.269,0.105,-0.941,3.989,0.706,0.334,0.647,0.527,25.237,-31.001,-13.011
-14.327,18.5,-4.106,-2.024,9.584,-0.473,-0.801,0.831,0.417,-1.388,1.033,-0.318,0.329,0.645,0.537,24.052,-27.954,-13.191
-14.329,16.199,-5.552,-1.917,9.608,-0.427,-0.502,1.078,0.643,-3.265,-0.525,-1.079,0.324,0.645,0.545,24.298,-29.915,-16.652
-9.96,16.003,-4.161,-1.852,9.618,-0.476,-0.186,1.669,0.457,-4.316,-1.512,-2.577,0.316,0.651,0.552,24.501,-28.787,-15.189
-5.502,15.711,-1.065,-1.805,9.619,-0.623,0.099,2.578,0.304,-4.576,-1.752,-4.142,0.304,0.663,0.559,24.347,-26.95,-16.437
-3.072,13.676,0.108,-1.692,9.62,-0.871,0.315,3.856,0.523,-5.13,-2.456,-6.203,0.286,0.68,0.568,24.53,-29.277,-15.829
-3.441,10.755,-0.797,-1.473,9.625,-1.165,0.35,5.03,0.862,-5.671,-2.748,-8.266,0.263,0.7,0.579,24.409,-27.625,-15.417
-5.21,9.223,-1.513,-1.225,9.624,-1.431,0.282,5.374,0.853,-6.657,-2,-8.37,0.237,0.719,0.59,26.051,-29.237,-13.123
-6.194,8.241,-3.06,-0.971,9.618,-1.651,0.143,6.094,0.676,-7.868,-1.016,-7.728,0.205,0.736,0.601,26.611,-28.821,-8.949
-6.405,7.997,-4.774,-0.635,9.616,-1.814,-0.029,6.93,0.854,-8.407,-0.594,-7.96,0.167,0.751,0.613,27.353,-29.689,-9.256
-6.843,7.286,-7.084,-0.183,9.623,-1.88,-0.249,7.37,1.259,-7.94,-0.209,-7.472,0.128,0.761,0.625,26.431,-29.66,-6.442
-7.161,6.991,-9.445,0.265,9.633,-1.819,-0.493,7.155,1.242,-7.215,0.899,-5.997,0.09,0.765,0.636,27.403,-31.084,-2.214
-7.896,7.738,-9.818,0.578,9.657,-1.603,-0.888,7.092,0.638,-6.959,0.751,-2.976,0.046,0.761,0.647,25.639,-30.518,1.785
-8.852,8.725,-9.399,0.787,9.695,-1.251,-1.29,7.574,0.25,-7.456,-0.764,-1.01,0.003,-0.751,-0.658,24.442,-32.126,5.219
-9.05,9.156,-9.799,0.961,9.726,-0.805,-1.552,7.753,0.384,-8.456,-2.202,0.462,0.053,-0.734,-0.668,23.654,-31.947,8.812
-8.126,9.558,-9.38,1.033,9.748,-0.28,-1.767,7.171,0.28,-8.785,-2.897,4.003,0.1,-0.71,-0.676,21.611,-35.291,9.776
-6.946,10.69,-7.846,0.891,9.762,0.299,-1.886,6.437,-0.424,-8.698,-2.897,10.178,0.145,-0.681,-0.686,18.616,-31.329,11.946
-6.371,10.573,-4.606,0.591,9.753,0.838,-1.696,6.199,-0.845,-9.361,-3.802,13.918,0.191,-0.649,-0.693,18.584,-34.152,14.02
-6.656,9.086,-2.281,0.311,9.721,1.258,-1.322,5.243,-0.516,-9.857,-3.79,14.205,0.228,-0.62,-0.696,14.749,-33.589,15.12
-7.482,7.657,-0.354,0.107,9.679,1.576,-0.964,3.311,-0.256,-8.437,-2,15.264,0.25,-0.598,-0.699,13.162,-33.995,16.179
-7.741,6.953,3.721,-0.046,9.635,1.828,-0.681,1.859,-0.282,-5.015,-0.575,16.363,0.262,-0.582,-0.704,11.946,-37.552,16.739
-7.8,6.941,10.48,-0.119,9.594,2.026,-0.46,0.996,-0.105,-2.026,-0.586,15.487,0.267,-0.571,-0.708,11.812,-37.39,17.953
