accelerometer_x,accelerometer_y,accelerometer_z,gravity_x,gravity_y,gravity_z,gyros_x,gyros_y,gyros_z,lin_accel_x,lin_accel_y,lin_accel_z,game_rot_vec_x,game_rot_vec_y,game_rot_vec_z,magn_field_x,magn_field_y,magn_field_z
-0.682,8.665,-3.5,-0.392,9.296,-3.098,-0.295,-0.646,0.258,0.809,-0.673,0.105,0.462,-0.667,-0.494,-1.804,-32.884,29.288
-1.422,8.351,-3.062,-0.366,9.316,-3.043,-0.291,-0.716,0.358,0.379,-0.843,-0.457,0.455,-0.669,-0.498,-2.698,-31.995,28.369
-0.967,9.122,-3.155,-0.351,9.337,-2.977,-0.317,-1.161,0.428,0.804,-0.341,-0.263,0.446,-0.673,-0.504,-1.807,-31.224,28.192
-0.115,9.412,-3.074,-0.335,9.368,-2.88,-0.456,-1.22,0.434,1.001,-1.084,0.756,0.435,-0.677,-0.511,-0.826,-31.31,30.389
0.079,9.024,-2.995,-0.246,9.404,-2.769,-0.576,-0.722,0.706,-0.506,-3.019,0.522,0.425,-0.679,-0.516,-0.478,-34.131,30.064
0.455,9.115,-3.265,-0.074,9.44,-2.656,-0.589,-0.922,1.186,-0.357,-3.146,0.766,0.41,-0.684,-0.52,-1.057,-33.913,28.363
0.524,9.247,-3.256,0.114,9.467,-2.556,-0.553,-1.704,1.456,0.037,-3.679,0.299,0.389,-0.692,-0.526,0.745,-32.854,26.61
0.416,8.65,-3.002,0.256,9.488,-2.468,-0.572,-3.094,1.562,-0.208,-4.924,-0.187,0.36,-0.704,-0.537,-0.655,-35.744,27.505
0.012,8.495,-3.507,0.384,9.513,-2.352,-0.807,-4.227,1.74,-0.205,-7.524,0.03,0.322,-0.718,-0.552,-0.391,-33.942,27.048
0.452,9.017,-3.246,0.626,9.537,-2.195,-1.101,-4.203,2.266,-0.855,-11.29,0.715,0.279,-0.731,-0.566,0.25,-35.297,26.547
0.665,8.296,-2.128,1.01,9.54,-2.035,-1.245,-4.569,3.026,-1.765,-12.531,1.99,0.228,-0.743,-0.579,2.902,-36.131,27.156
-0.752,6.378,-2.245,1.431,9.523,-1.851,-1.613,-5.647,3.373,-2.564,-12.482,4.566,0.165,-0.753,-0.595,2.374,-34.763,25.693
-0.431,6.266,-1.882,1.778,9.508,-1.617,-2.293,-7.178,3.129,-2.713,-14.515,7,0.093,-0.758,-0.616,2.296,-37.7,23.047
0.151,5.737,-2.243,2.021,9.498,-1.368,-3.08,-9.643,2.658,0.433,-16.748,6.767,0.006,-0.755,-0.641,4.678,-39.137,19.795
0.045,4.482,-2.633,2.161,9.527,-0.864,-4.605,-10.934,1.895,1.95,-14.424,13.412,-0.086,-0.733,-0.671,6.946,-42.554,17.151
0.175,1.86,-2.291,2.27,9.54,-0.018,-5.573,-8.948,0.895,4.62,-5.643,25.642,-0.157,-0.69,-0.706,8.395,-46.072,13.524
-0.242,-1.951,-1.434,2.279,9.524,0.522,-4.221,-8.785,-0.372,7.81,2.732,19.877,0.216,0.653,0.723,10.266,-46.465,8.028
-0.785,-3.27,0.015,1.967,9.578,0.746,-3.235,-11.204,-2.479,6.748,11.744,13.64,0.278,0.62,0.716,11.279,-44.496,2.783
-1.188,-3.321,2.785,1.183,9.659,1.211,-3.842,-9.163,-4.726,-3.904,19.47,6.051,0.305,0.588,0.702,11.555,-46.947,-1.318
-1.02,-5.466,5.461,0.414,9.626,1.829,-3.894,-6.367,-4.603,-9.461,28.92,0.884,0.309,0.558,0.689,17.693,-44.789,-8.569
2.334,-7.812,5.481,-0.087,9.516,2.368,-3.231,-6.768,-3.487,-19.527,27.854,-2.658,0.321,0.525,0.668,20.47,-44.426,-12.875
3.962,-5.552,12.608,-0.299,9.367,2.889,-2.928,-4.459,-1.785,-18.443,22.698,-1.514,0.326,0.496,0.658,20.677,-40.451,-15.764
6.728,3.213,25.625,-0.151,9.287,3.147,-1.485,-3.517,-0.087,-8.905,19.21,-0.303,0.341,0.472,0.651,20.706,-38.089,-21.211
9.933,11.605,20.363,0.147,9.295,3.122,-0.051,-2.75,0.673,-0.417,11.427,-2.848,0.363,0.457,0.644,19.133,-37.619,-25.101
8.597,20.751,14.342,0.346,9.329,3.002,0.488,-1.502,0.529,1.207,2.361,-3.222,0.378,0.452,0.638,17.523,-36.037,-24.66
-2.777,28.671,7.204,0.395,9.349,2.936,0.324,-1.151,-0.067,-1.387,-4.535,-0.784,0.386,0.448,0.632,15.842,-37.396,-26.41
-9.06,38.257,2.658,0.339,9.372,2.866,0.368,-1.419,-0.625,-3.757,-7.225,-0.274,0.394,0.446,0.622,14.418,-36.639,-27.078
-19.613,37.24,-0.323,0.193,9.395,2.804,0.328,-0.356,-0.718,-5.51,-6.318,-1.486,0.393,0.45,0.614,15.799,-36.894,-26.834
-18.742,32.061,1.375,0.094,9.411,2.756,0.221,0.178,-0.323,-4.941,-2.077,-1.982,0.391,0.454,0.612,15.544,-36.894,-25.336
-9.057,28.596,2.878,0.063,9.429,2.694,0.247,-0.417,-0.28,-0.233,1.42,-2.232,0.394,0.455,0.607,15.685,-38.873,-26.224
-0.268,20.878,0.326,0.047,9.444,2.642,0.211,-0.394,-0.247,1.643,2.355,-1.501,0.397,0.456,0.603,14.868,-36.856,-24.779
1.558,11.854,-0.167,0.017,9.447,2.631,0.018,0.44,-0.063,0.931,1.726,-0.994,0.395,0.458,0.605,15.808,-36.903,-26.074
