accelerometer_x,accelerometer_y,accelerometer_z,gravity_x,gravity_y,gravity_z,gyros_x,gyros_y,gyros_z,lin_accel_x,lin_accel_y,lin_accel_z,game_rot_vec_x,game_rot_vec_y,game_rot_vec_z,magn_field_x,magn_field_y,magn_field_z
0.321,7.611,-5.988,0.691,7.748,-5.972,0.179,-0.262,0.115,0.078,-0.313,0.619,0.255,0.86,0.433,0.079,-42.523,0.261
0.543,7.944,-5.844,0.693,7.721,-6.006,0.206,-0.282,0.206,0.581,-0.06,0.548,0.259,0.86,0.431,-0.662,-39.998,-0.226
0.433,7.81,-5.633,0.69,7.695,-6.04,0.21,-0.323,0.198,0.987,0.272,0.718,0.262,0.86,0.429,-0.792,-41.808,0.09
0.761,7.35,-5.289,0.656,7.663,-6.085,0.253,-0.46,0.107,1.103,-0.195,0.218,0.265,0.86,0.426,-1.233,-41.444,-0.375
1.266,7.575,-5.391,0.593,7.626,-6.137,0.269,-0.673,0.091,0.803,-1.232,0.116,0.269,0.86,0.422,-1.303,-40.3,1.068
1.669,7.882,-5.255,0.515,7.58,-6.201,0.302,-0.962,0.237,0.897,-1.879,-0.646,0.276,0.86,0.416,1.028,-40.457,2.002
1.752,7.381,-5.798,0.436,7.535,-6.261,0.268,-1.165,0.396,1.272,-0.815,-1.844,0.285,0.859,0.411,0.594,-40.1,1.993
1.388,6.304,-5.949,0.349,7.524,-6.28,-0.012,-1.273,0.476,0.39,0.177,-3.634,0.294,0.857,0.407,-1.295,-42.12,1.546
1.405,5.607,-6.771,0.23,7.568,-6.233,-0.469,-1.707,0.686,-1.471,-0.497,-3.739,0.306,0.851,0.406,-2.235,-40.57,0.974
1.702,6.63,-8.03,0.125,7.664,-6.117,-0.899,-2.176,1.187,-3.231,-3.303,-1.723,0.324,0.841,0.407,-1.37,-41.28,0.537
0.735,7.621,-9.847,0,7.791,-5.956,-1.132,-3.186,1.804,-3.589,-4.564,0.473,0.35,0.825,0.408,-2.646,-40.388,1.865
-1.243,6.998,-9.912,-0.15,7.952,-5.737,-1.376,-4.402,2.428,-3.106,-3.485,1.136,0.385,0.803,0.407,-4.356,-41.566,-1.241
-3.108,4.281,-7.776,-0.322,8.168,-5.418,-1.774,-5.734,2.962,-1.463,-1.761,2.237,0.428,0.77,0.404,-5.103,-40.849,-2.312
-3.589,3.129,-5.408,-0.538,8.426,-4.988,-2.157,-7.394,3.309,1.235,-1.277,2.351,0.476,0.726,0.396,-8.333,-39.487,-2.473
-3.254,4.353,-4.518,-0.722,8.688,-4.491,-2.172,-8.727,3.664,3.913,-3.351,4.278,0.529,0.67,0.38,-11.122,-38.643,-3.244
-1.779,6.278,-3.095,-0.844,8.905,-4.02,-1.736,-9.801,3.857,6.739,-3.378,2.975,0.584,0.603,0.353,-13.148,-38.686,-2.498
0.706,7.006,-2.552,-0.928,9.082,-3.582,-1.435,-10.537,3.661,10.729,1.276,-3.553,0.635,0.528,0.314,-17.094,-36.633,-1.3
3.206,5.164,-0.124,-0.946,9.261,-3.083,-1.693,-9.902,3.076,14.864,4.423,-2.738,0.673,0.452,0.275,-19.74,-33.836,-0.25
5.914,5.327,-0.955,-0.859,9.422,-2.58,-1.854,-8.227,2.571,14.238,1.523,-0.32,0.696,0.383,0.243,-20.694,-35.435,0.775
9.821,10.161,-7.058,-0.75,9.558,-2.063,-2.101,-7.018,1.987,11.442,0.291,-0.386,0.708,0.322,0.215,-22.353,-32.883,3.406
13.936,13.501,-5.76,-0.733,9.662,-1.508,-2.304,-5.855,1.049,5.427,-0.123,4.355,0.709,0.273,0.187,-24.08,-32.968,6.299
13.395,10.76,-2.849,-0.762,9.723,-1.027,-1.91,-4.965,0.426,3.243,0.597,6.728,0.705,0.234,0.161,-21.568,-31.979,6.873
10.707,9.658,-2.408,-0.883,9.746,-0.632,-1.448,-4.718,-0.275,2.273,2.071,6.402,0.701,0.202,0.129,-21.413,-33.972,7.199
4.709,9.34,2.878,-1.09,9.74,-0.326,-1.004,-4.262,-0.834,-0.492,2.465,4.855,0.697,0.177,0.096,-21.346,-32.991,7.73
2.497,10.118,5.722,-1.305,9.719,-0.087,-0.669,-3.505,-0.991,-1.443,2.099,4.805,0.692,0.159,0.065,-19.269,-35.114,8.807
1.408,11.622,5.782,-1.551,9.682,0.128,-0.52,-3.047,-1.241,-1.097,1.649,5.132,0.687,0.146,0.036,-18.41,-35.664,8.989
-1.561,12.021,4.535,-1.866,9.622,0.309,-0.364,-2.672,-1.566,-4.676,0.082,3.877,0.682,0.138,0.006,-17.155,-36.075,9.059
-2.725,11.646,4.719,-2.173,9.554,0.423,-0.104,-1.847,-1.507,-5.696,-1.433,3.853,0.678,0.136,-0.018,-14.754,-35.411,9.755
-2.622,11.169,5.258,-2.457,9.484,0.438,0.274,-1.207,-1.413,-4.954,-0.342,2.316,0.677,0.138,-0.038,-13.214,-37.508,11.702
-6.512,9.548,4.181,-2.738,9.407,0.426,0.427,-1.312,-1.442,-4.391,1.487,0.392,0.678,0.138,-0.059,-12.43,-37.065,11.949
-7.834,7.966,4.269,-3.03,9.317,0.42,0.432,-1.326,-1.516,-4.395,1.965,-0.084,0.678,0.14,-0.08,-10.088,-37.387,12.72
-7.372,8.993,2.746,-3.294,9.227,0.42,0.324,-0.944,-1.353,-4.662,0.929,0.2,0.677,0.142,-0.098,-8.56,-36.002,12.941
-7.089,10.76,0.812,-3.496,9.152,0.427,0.185,-0.627,-0.998,-5.131,-0.352,-0.209,0.676,0.145,-0.11,-7.79,-37.206,12.917
-7.386,11.164,0.331,-3.615,9.105,0.448,0.15,-0.629,-0.531,-5.766,-0.855,0.692,0.675,0.145,-0.119,-6.758,-38.414,11.85
-7.918,10.051,0.616,-3.641,9.093,0.481,0.21,-1.008,-0.117,-3.414,0.388,-0.208,0.675,0.139,-0.128,-5.576,-37.68,13.364
-8.591,8.703,0.213,-3.632,9.094,0.527,0.057,-0.868,0.023,-1.433,1.37,-1.42,0.675,0.133,-0.134,-5.641,-36.848,13.113
-9.345,8.16,1.135,-3.627,9.093,0.573,-0.163,-0.311,0.041,-1.653,0.833,-1.162,0.674,0.131,-0.136,-5.238,-36.714,13.611
-7.022,9.397,0.268,-3.618,9.092,0.639,-0.192,-0.367,0.075,-1.87,-0.387,0.939,0.672,0.128,-0.138,-4.202,-37.929,13
-5.035,10.389,-0.898,-3.595,9.098,0.692,-0.015,-0.626,0.09,-0.049,-1.106,0.834,0.67,0.123,-0.141,-5.38,-36.546,14.22
-5.253,9.857,-0.594,-3.577,9.103,0.715,0.035,-0.493,0.063,0.183,-0.596,-1.186,0.67,0.119,-0.144,-4.633,-37.73,12.373
-5.461,8.638,1.573,-3.57,9.105,0.726,-0.038,-0.083,0.022,0.027,0.633,-0.492,0.67,0.119,-0.145,-5.605,-37.346,13.081
