accelerometer_x,accelerometer_y,accelerometer_z,gravity_x,gravity_y,gravity_z,gyros_x,gyros_y,gyros_z,lin_accel_x,lin_accel_y,lin_accel_z,game_rot_vec_x,game_rot_vec_y,game_rot_vec_z,magn_field_x,magn_field_y,magn_field_z
4.455,-2.394,7.887,4.121,-2.512,8.537,0.301,-0.327,0.141,0.101,0.555,-0.739,0,0,0,-25.352,-11.04,-30.127
5.064,-2.629,9.113,4.2,-2.503,8.501,0.282,-0.328,0.159,-0.348,0.176,-1.081,-0.125,-0.226,0.031,-24.466,-10.266,-30.608
4.42,-2.978,9.596,4.27,-2.509,8.464,0.225,-0.322,0.245,-0.23,0.093,-0.855,-0.124,-0.23,0.035,-27.2,-9.935,-29.892
4.214,-2.49,8.864,4.336,-2.522,8.427,0.184,-0.343,0.289,-0.132,0.037,-0.638,-0.124,-0.234,0.039,-26.639,-10.138,-29.709
4.326,-2.341,8.349,4.371,-2.578,8.391,0.2,-0.424,0.348,-0.433,-0.253,-0.628,-0.126,-0.237,0.044,-27.184,-10.258,-30.673
4.609,-2.193,8.6,4.379,-2.676,8.357,0.214,-0.484,0.474,-0.654,-0.605,-0.493,-0.129,-0.239,0.051,-25.581,-9.712,-29.443
4.125,-2.49,7.973,4.375,-2.797,8.319,0.249,-0.602,0.621,-0.861,-0.862,-0.375,-0.134,-0.241,0.06,-27.08,-9.775,-30.174
4.242,-2.535,8.011,4.41,-2.919,8.258,0.331,-0.755,0.767,-0.583,-1.033,-0.316,-0.137,-0.245,0.071,-28.412,-8.06,-28.337
4.364,-2.578,8.1,4.53,-3.014,8.159,0.44,-0.867,0.837,0.131,-0.941,-0.799,-0.139,-0.254,0.082,-27.176,-9.956,-27.917
4.058,-2.902,7.992,4.686,-3.054,8.055,0.497,-0.931,0.831,0.512,-0.444,-0.845,-0.138,-0.265,0.093,-28.023,-11.383,-28.391
3.814,-3.335,8.033,4.852,-3.057,7.955,0.487,-0.911,0.802,0.689,0.055,-0.876,-0.135,-0.276,0.103,-29.024,-8.542,-25.687
3.579,-3.701,8.069,4.967,-3.067,7.88,0.364,-0.778,0.798,0.421,0.233,-0.548,-0.132,-0.284,0.112,-29.337,-9.839,-25.957
3.883,-3.989,8.047,5.028,-3.105,7.826,0.266,-0.625,0.851,0.169,0.123,-0.201,-0.131,-0.29,0.121,-31.538,-9.377,-25.34
4.704,-3.984,7.439,5.101,-3.151,7.76,0.26,-0.547,0.909,0.536,0.198,-0.682,-0.13,-0.296,0.131,-30.153,-7.823,-24.512
5.231,-3.519,7.267,5.198,-3.183,7.683,0.239,-0.578,0.887,0.789,0.541,-0.998,-0.128,-0.303,0.14,-30.911,-8.443,-23.705
5.559,-3.014,7.111,5.308,-3.202,7.599,0.174,-0.675,0.83,0.872,0.875,-0.712,-0.126,-0.311,0.148,-30.589,-7.31,-23.598
5.396,-2.839,7.346,5.407,-3.237,7.514,0.104,-0.71,0.807,0.54,0.828,-0.699,-0.125,-0.318,0.156,-31.529,-7.263,-22.304
5.202,-2.985,7.633,5.494,-3.297,7.424,0.064,-0.709,0.875,0.712,0.56,-0.387,-0.124,-0.326,0.164,-32.898,-7.172,-22.71
5.631,-2.95,7.07,5.593,-3.349,7.326,0.063,-0.73,0.857,1.276,0.526,-0.057,-0.123,-0.334,0.172,-32.965,-6.03,-20.964
5.964,-2.629,6.651,5.678,-3.396,7.239,0.067,-0.704,0.747,1.313,0.251,0.475,-0.122,-0.341,0.18,-31.996,-6.413,-21.825
6.146,-2.305,6.838,5.747,-3.423,7.171,0.089,-0.603,0.689,1.202,0.568,0.559,-0.121,-0.346,0.186,-34.409,-4.948,-21.153
5.897,-2.38,6.745,5.785,-3.459,7.123,0.076,-0.463,0.689,0.639,0.68,0.245,-0.12,-0.35,0.193,-33.376,-4.347,-21.788
6.153,-2.705,6.965,5.793,-3.521,7.086,0.082,-0.35,0.728,0.574,0.084,0.343,-0.12,-0.352,0.2,-33.842,-3.497,-21.309
6.828,-2.799,7.216,5.795,-3.583,7.053,0.128,-0.314,0.732,0.452,0.006,0.099,-0.121,-0.355,0.207,-33.665,-4.005,-21.179
6.977,-3.136,7.695,5.808,-3.627,7.02,0.126,-0.352,0.745,0.149,0.883,-0.398,-0.12,-0.357,0.214,-34.668,-3.131,-19.83
6.957,-2.861,7.741,5.83,-3.67,6.979,0.059,-0.347,0.723,0.259,1.238,-0.728,-0.12,-0.36,0.22,-35.002,-3.944,-18.852
6.44,-2.789,7.389,5.842,-3.727,6.939,-0.036,-0.257,0.631,0.713,0.612,-0.186,-0.121,-0.363,0.226,-35.376,-2.756,-19.861
6.397,-3.455,7.465,5.83,-3.783,6.919,-0.06,-0.16,0.546,0.803,0.111,0.804,-0.122,-0.364,0.23,-35.107,-2.769,-20.143
6.285,-3.601,7.197,5.807,-3.828,6.913,-0.041,0.044,0.506,0.799,0.555,-0.1,-0.123,-0.364,0.234,-35.291,-0.134,-18.604
5.983,-2.76,6.654,5.779,-3.863,6.918,-0.118,0.201,0.447,0.856,1.246,-0.603,-0.125,-0.363,0.236,-35.336,0.215,-20.253
