accelerometer_x,accelerometer_y,accelerometer_z,gravity_x,gravity_y,gravity_z,gyros_x,gyros_y,gyros_z,lin_accel_x,lin_accel_y,lin_accel_z,game_rot_vec_x,game_rot_vec_y,game_rot_vec_z,magn_field_x,magn_field_y,magn_field_z
8.542,5.461,1.647,7.911,5.554,1.654,-0.152,-0.053,-0.205,0.824,-0.502,0.431,0.633,-0.123,0.53,-38.483,-5.09,2.045
8.253,5.433,0.91,7.891,5.581,1.658,-0.157,-0.078,-0.237,0.76,-1.071,-0.241,0.633,-0.123,0.529,-38.979,-3.752,3.316
8.193,5.38,1.688,7.878,5.608,1.63,-0.2,-0.31,-0.264,1.496,-1.759,-0.411,0.634,-0.124,0.525,-38.872,-4.929,4.759
8.597,5.176,1.956,7.872,5.637,1.56,-0.296,-0.626,-0.348,3.111,-2.83,-0.768,0.636,-0.128,0.519,-38.699,-3.775,3.792
8.949,5.303,2.201,7.868,5.674,1.441,-0.483,-1.033,-0.473,4.453,-4.228,-1.91,0.639,-0.135,0.51,-38.768,-4.753,3.11
8.885,5.157,2.117,7.865,5.711,1.306,-0.798,-1.362,-0.544,4.698,-5.293,-2.376,0.642,-0.144,0.497,-38.423,-5.453,4.909
8.801,4.616,1.449,7.867,5.737,1.17,-1.145,-1.609,-0.532,5.63,-5.266,-2.564,0.645,-0.157,0.483,-39.853,-4.535,4.709
9.524,3.955,1.25,7.873,5.762,0.993,-1.508,-2.14,-0.58,7.111,-5.437,-2.597,0.647,-0.175,0.464,-38.602,-6.601,5.42
11.135,2.916,0.821,7.873,5.801,0.733,-1.935,-3.015,-0.72,8.661,-6.904,-1.807,0.651,-0.199,0.437,-38.022,-6.975,6.047
12.476,1.559,-0.44,7.846,5.871,0.388,-2.306,-3.908,-0.955,11.325,-8.861,0.21,0.654,-0.228,0.403,-37.827,-7.5,7.848
12.72,0.532,-1.044,7.745,6.014,-0.098,-2.435,-4.987,-1.353,14.342,-8.647,0.211,0.661,-0.261,0.358,-36.765,-8.737,9.363
13.659,0.589,-1.369,7.502,6.279,-0.69,-2.819,-6.212,-1.928,15.862,-5.505,1.423,0.668,-0.298,0.299,-37.05,-9.904,12.294
15.155,0.45,-1.582,7.12,6.64,-1.178,-3.326,-6.513,-2.315,13.671,-4.961,6.215,0.67,-0.333,0.233,-33.615,-11.644,15.936
16.716,-0.969,-1.058,6.692,6.991,-1.586,-3.349,-6.666,-2.159,12.193,-8.744,11.214,0.667,-0.368,0.166,-32.047,-14.229,17.091
19.367,-2.844,0.608,6.146,7.351,-2.088,-3.249,-7.854,-2.128,8.549,-10.477,8.759,0.663,-0.408,0.09,-27.921,-17.989,20.343
22.304,-2.463,0.11,5.521,7.716,-2.48,-3.613,-8.289,-1.834,6.471,-5.973,6.792,0.651,-0.45,0.01,-24.399,-19.231,23.117
23.607,0.977,0.711,4.964,8.016,-2.697,-3.659,-8.231,-0.956,4.573,-1.21,14.79,0.629,-0.492,-0.066,-19.89,-22.836,25.194
21.042,1.913,4.995,4.569,8.278,-2.603,-4,-6.592,-0.254,-2.756,-2.98,16.304,0.598,-0.524,-0.129,-15.115,-24.951,24.818
19.122,-1.506,9.572,4.416,8.45,-2.294,-4.257,-5.344,0.735,-6.572,-4.958,17.874,0.56,-0.551,-0.181,-8.115,-29.207,26.593
14.899,-2.882,6.601,4.422,8.503,-2.077,-3.577,-5.538,1.503,-4.761,-2.9,22.091,0.517,-0.582,-0.224,-6.941,-30.585,24.918
12.167,1.987,4.233,4.447,8.514,-1.976,-2.739,-5.281,1.471,-3.478,1.568,21.962,0.478,-0.611,-0.261,-2.673,-35.283,22.343
9.687,7.049,12.012,4.472,8.535,-1.823,-2.189,-3.511,1.065,-3.596,7.035,18.799,0.448,-0.626,-0.288,0.262,-36.609,20.813
1.932,5.514,13.633,4.494,8.575,-1.562,-1.706,-1.048,0.534,-5.943,6.667,12.43,0.432,-0.627,-0.303,1.096,-37.137,18.867
-2.066,3.663,15.534,4.494,8.622,-1.277,-1.291,0.321,0.201,-9.407,4.644,6.806,0.425,-0.62,-0.31,2.615,-38.019,15.131
-0.271,5.734,19.982,4.514,8.641,-1.062,-0.978,0.325,0.331,-9.833,3.744,3.341,0.419,-0.615,-0.315,2.765,-40.007,15.001
1.027,10.192,19.961,4.605,8.603,-0.97,-0.662,-0.44,0.716,-4.885,2.625,3.585,0.41,-0.618,-0.318,2.806,-39.003,13.405
0.936,15.685,16.951,4.734,8.534,-0.966,-0.311,-0.709,0.848,-0.194,2,3.425,0.4,-0.624,-0.318,1.959,-42.087,13.725
-1.386,15.361,10.846,4.863,8.461,-0.963,-0.06,-0.213,0.762,2.06,2.263,2.277,0.394,-0.628,-0.315,2.525,-38.979,12.778
-4.853,13.381,5.512,4.977,8.398,-0.938,0.016,0.259,0.606,2.548,1.59,0.158,0.391,-0.629,-0.31,1.315,-39.226,12.207
-5.263,12.493,2.265,5.053,8.356,-0.899,-0.066,0.336,0.376,2.237,0.636,-1.439,0.389,-0.628,-0.307,1.018,-38.878,12.209
-0.223,11.334,2.603,5.086,8.339,-0.875,-0.126,0.066,0.169,1.557,0.714,-0.759,0.387,-0.628,-0.306,-0.005,-37.985,11.887
4.602,10.645,2.447,5.1,8.333,-0.85,-0.168,-0.044,0.067,1.265,0.46,0.116,0.386,-0.628,-0.307,-2.159,-40.147,10.953
6.993,10.846,1.3,5.113,8.328,-0.818,-0.194,0.003,0.043,1.558,0.018,-0.173,0.384,-0.628,-0.307,-0.121,-40.115,11.27
7.604,10.12,-0.795,5.123,8.324,-0.803,-0.143,-0.08,0.04,1.462,0.463,-0.321,0.382,-0.628,-0.308,0.562,-40.16,11.322
7.374,9.132,-2.353,5.119,8.325,-0.812,-0.076,-0.212,-0.011,0.89,0.813,-0.11,0.381,-0.629,-0.31,0.391,-39.5,12.569
6.732,9.199,-1.649,5.104,8.333,-0.822,-0.068,-0.228,-0.063,-0.031,0.232,0.532,0.381,-0.63,-0.311,0.218,-38.997,12.744
